frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,64,3.80948181,2.35533766,-10.6127106,3.10309461,14.0622895,-14.0863218,-7.23556824,2.20462023,1.65594177,2.86808459,-34.9394286,34.0255205,3.84521484,2.20550537,-10.7199097,2.96081543,14.0185547,-14.0405273,-7.30865479,2.4005127,1.67266846,3.07067871,-35.1068115,34.1867065,-0.0357330322,0.149832285,0.107199097,0.142279184,0.0437347847,-0.0457944502,0.0730865479,-0.195892465,-0.0167266846,-0.202594126,0.167382895,-0.161186005
1,20359,3.7710022,2.50516994,-10.5055115,3.2453738,14.1060236,-14.1321136,-7.16248169,2.00872776,1.63921509,2.66549046,-34.7721337,33.8644307,3.84796143,2.22473145,-10.7034302,2.98553467,14.0185547,-14.0460205,-7.30865479,2.37579346,1.67266846,3.03771973,-35.0875854,34.1482544,-0.0769592285,0.280438495,0.197918701,0.25983913,0.0874689134,-0.0860931065,0.146173096,-0.367065693,-0.0334533691,-0.372229267,0.315451794,-0.283823698
2,40873,3.73252258,2.65500223,-10.3983124,3.38765298,14.1497571,-14.1779028,-7.08939514,1.8128353,1.6224884,2.46289633,-34.6049234,33.7034382,3.84796143,2.26318359,-10.6677246,3.01300049,14.0405273,-14.0652466,-7.30041504,2.32086182,1.67266846,2.95806885,-35.0024414,34.0823364,-0.115438843,0.391818632,0.269412231,0.374652494,0.109229754,-0.112656262,0.211019897,-0.508026518,-0.0501800537,-0.495172514,0.397518031,-0.378898187
3,61303,3.69404297,2.80483451,-10.2911133,3.52993217,14.19349,-14.2236895,-7.01630859,1.61694283,1.60576172,2.26030221,-34.4377965,33.542542,3.84521484,2.34283447,-10.6182861,3.07617188,14.0432739,-14.0844727,-7.29217529,2.22473145,1.67266846,2.87841797,-34.8651123,34.0219116,-0.151171875,0.462000038,0.327172852,0.453760292,0.15021605,-0.139216843,0.275866699,-0.607788612,-0.0669067383,-0.61811576,0.427315851,-0.479369651
4,81766,3.65556335,2.9546668,-10.1839142,3.67221135,14.2372223,-14.2694736,-6.94322205,1.42105037,1.58903503,2.05770808,-34.2707516,33.3817407,3.84246826,2.4307251,-10.5715942,3.14758301,14.0652466,-14.1201782,-7.27844238,2.11486816,1.66992188,2.77404785,-34.8294067,33.9697266,-0.186904907,0.523941698,0.387680054,0.524628343,0.171975669,-0.149295373,0.335220337,-0.693817796,-0.0808868408,-0.716339769,0.558655175,-0.587985856
5,102150,3.61708374,3.10449908,-10.0767151,3.81449054,14.2809539,-14.3152551,-6.8701355,1.2251579,1.57230835,1.85511396,-34.1037874,33.2210333,3.8369751,2.51037598,-10.5084229,3.25469971,14.0872192,-14.1998291,-7.27020264,1.99401855,1.66717529,2.64770508,-34.7085571,33.8818359,-0.219891357,0.594123104,0.431707764,0.559790828,0.193734699,-0.115426048,0.400067139,-0.768860652,-0.0948669434,-0.792591121,0.604769738,-0.660802664
6,122442,3.57860413,3.25433136,-9.96951599,3.95676972,14.324685,-14.3610342,-6.79704895,1.02926544,1.55558167,1.65251983,-33.9369026,33.0604185,3.82324219,2.58178711,-10.4260254,3.37005615,14.1091919,-14.1641235,-7.23724365,1.84844971,1.65893555,2.45819092,-34.6481323,33.7911987,-0.244638062,0.672544256,0.456509399,0.586713567,0.215493154,-0.196910643,0.440194702,-0.81918427,-0.103353882,-0.805671087,0.711229692,-0.730780224
7,142786,3.54012451,3.40416365,-9.86231689,4.0990489,14.3684156,-14.4068107,-6.7239624,0.833372971,1.53885498,1.44992571,-33.770096,32.8998952,3.82049561,2.66967773,-10.3326416,3.49914551,14.1311646,-14.1943359,-7.16308594,1.69464111,1.65618896,2.24945068,-34.538269,33.6895752,-0.280371094,0.734485915,0.470324707,0.599903396,0.237251049,-0.212474759,0.439123535,-0.861268142,-0.117333984,-0.799524978,0.76817305,-0.789679947
8,163134,3.5016449,3.55399593,-9.7551178,4.24132809,14.4121456,-14.4525847,-6.65087585,0.637480506,1.5221283,1.24733158,-33.6033662,32.7394624,3.81500244,2.74108887,-10.2365112,3.60626221,14.1503906,-14.1751099,-7.07519531,1.55456543,1.65344238,2.05993652,-34.4064331,33.5961914,-0.313357544,0.812907067,0.481393433,0.635065881,0.261754979,-0.277474858,0.424319458,-0.917084924,-0.131314087,-0.812604943,0.803066917,-0.856729052
9,183476,3.46316528,3.70382822,-9.6479187,4.38360727,14.4558751,-14.4983563,-6.57778931,0.44158804,1.50540161,1.04473745,-33.4367119,32.5791187,3.81500244,2.8427124,-10.1211548,3.72161865,14.1531372,-14.2327881,-6.9708252,1.3760376,1.63421631,1.88690186,-34.3624878,33.4835815,-0.351837158,0.861115817,0.473236084,0.66198862,0.302737869,-0.265568183,0.393035889,-0.934449557,-0.128814697,-0.842164401,0.925775848,-0.904462858
10,203816,3.42468567,3.8536605,-9.5407196,4.52588646,14.499604,-14.5441254,-6.50470276,0.245695575,1.48867493,0.842143329,-33.270132,32.4188631,3.81500244,2.98828125,-10.0222778,3.87542725,14.1751099,-14.2849731,-6.86920166,1.19750977,1.63146973,1.71386719,-34.3432617,33.3984375,-0.390316772,0.865379254,0.481558228,0.65045921,0.324494167,-0.259152212,0.364498901,-0.951814191,-0.1427948,-0.871723859,1.07312972,-0.979574388
11,224109,3.38620605,4.00349279,-9.43352051,4.66816564,14.5433325,-14.589892,-6.43161621,0.0498031094,1.47194824,0.639549203,-33.1036251,32.2586945,3.78753662,3.15582275,-9.9206543,3.99353027,14.1970825,-14.2959595,-6.76757812,0.997009277,1.62322998,1.57653809,-34.3899536,33.2858276,-0.401330566,0.847670035,0.487133789,0.674635367,0.346249962,-0.293932525,0.335961914,-0.947206168,-0.151281738,-0.936988883,1.28632852,-1.02713312
