frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,115,4.27988892,4.98744215,-1.36499634,9.25101637,45.8413389,-56.4040792,-5.32131042,6.61502672,10.4740356,8.59436693,-6.51506833,56.8581938,4.32312012,4.86419678,-1.37878418,9.1708374,46.1453247,-56.835022,-5.37506104,6.85546875,10.579834,13.3703613,-6.29241943,57.6040649,-0.0432312012,0.123245371,0.0137878418,0.0801789645,-0.303985829,0.430942808,0.0537506104,-0.240442026,-0.10579834,-4.7759944,-0.222648896,-0.74587112
1,20561,4.23665771,5.11068752,-1.3512085,9.33119533,45.5408818,-55.9752928,-5.26755981,6.3745847,10.3682373,8.59436693,-6.44384058,56.6723317,4.30664062,4.84771729,-1.36230469,9.1708374,46.0821533,-56.7581177,-5.36682129,6.62475586,10.579834,12.2607422,-6.44073486,57.4887085,-0.0699829102,0.262970234,0.0110961914,0.160357929,-0.541271528,0.782824893,0.0992614746,-0.250171161,-0.21159668,-3.66637526,-0.00310571941,-0.816376778
2,40916,4.19342651,5.23393289,-1.33742065,9.4113743,45.2411929,-55.5485953,-5.2138092,6.13414267,10.262439,8.59436693,-6.52133293,56.2108569,4.32037354,4.76806641,-1.38977051,9.2010498,46.0574341,-56.6290283,-5.44647217,6.37481689,10.5606079,11.1236572,-6.30615234,57.3815918,-0.126947021,0.465866483,0.0523498535,0.210324491,-0.81624116,1.08043302,0.232662964,-0.240674223,-0.298168945,-2.5292903,-0.215180584,-1.17073491
3,61189,4.15019531,5.35717826,-1.32363281,9.49155326,44.9422586,-55.1239219,-5.16005859,5.89370065,10.1566406,8.59436693,-6.60000412,55.7521923,4.35882568,4.76531982,-1.35131836,9.3548584,46.0354614,-56.5301514,-5.44921875,6.34460449,10.5578613,10.3353882,-6.29516602,57.2827148,-0.208630371,0.591858436,0.0276855469,0.136694862,-1.09320279,1.40622951,0.289160156,-0.450903846,-0.401220703,-1.74102126,-0.304838104,-1.53052258
4,81632,4.10696411,5.48042363,-1.30984497,9.57173222,44.6440656,-54.7012101,-5.10630798,5.65325862,10.0508423,8.59436693,-6.67984739,55.2962545,4.40551758,4.83398438,-1.37329102,9.38232422,46.0107422,-56.2609863,-5.36682129,6.328125,10.5029297,9.73114014,-6.36657715,57.2662354,-0.298553467,0.646439256,0.0634460449,0.189408006,-1.3666766,1.55977621,0.260513306,-0.67486638,-0.452087402,-1.13677321,-0.313270241,-1.96998084
5,101971,4.06373291,5.603669,-1.29605713,9.65191119,44.3466007,-54.2804001,-5.05255737,5.41281659,9.94504395,8.59436693,-6.76085595,54.8429639,4.45220947,4.91912842,-1.37054443,9.31091309,46.0107422,-56.1236572,-5.26794434,6.33087158,10.4232788,9.36859131,-6.37756348,57.2167969,-0.388476563,0.684540584,0.0744873047,0.340998104,-1.66414144,1.84325708,0.215386963,-0.918054988,-0.478234863,-0.774224382,-0.383292474,-2.37383294
6,122325,4.02050171,5.72691437,-1.28226929,9.73209015,44.0498513,-53.8614342,-4.99880676,5.17237457,9.83924561,8.59436693,-6.84302301,54.3922442,4.46044922,5.1663208,-1.36505127,9.33013916,45.9667969,-55.9588623,-5.12786865,6.24847412,10.3408813,9.09393311,-6.34735107,56.7993164,-0.43994751,0.560593572,0.0827819824,0.401950994,-1.91694554,2.09742806,0.12906189,-1.07609955,-0.501635742,-0.499566179,-0.495671931,-2.40707218
7,142654,3.97727051,5.85015974,-1.26848145,9.81226912,43.7538049,-53.4442569,-4.94505615,4.93193254,9.73344727,8.59436693,-6.92634174,53.9440223,4.42749023,5.33660889,-1.35955811,9.31915283,45.9008789,-55.8050537,-4.98504639,6.14959717,10.2667236,8.92913818,-6.35009766,56.7333984,-0.450219727,0.513550857,0.0910766602,0.493116286,-2.14707404,2.36079684,0.0399902344,-1.21766463,-0.533276367,-0.334771257,-0.576244085,-2.7893761
8,162912,3.93403931,5.97340511,-1.2546936,9.89244808,43.4584491,-53.0288145,-4.89130554,4.69149052,9.62764893,8.59436693,-7.01080533,53.4982282,4.34509277,5.48492432,-1.35955811,9.32189941,45.6591797,-55.4782104,-4.91088867,6.0067749,10.1733398,8.80004883,-6.42700195,56.401062,-0.411053467,0.488480798,0.104864502,0.570548669,-2.20073058,2.44939594,0.0195831299,-1.31528439,-0.545690918,-0.205681901,-0.58380338,-2.90283379
9,183153,3.89080811,6.09665049,-1.24090576,9.97262705,43.1637721,-52.6150556,-4.83755493,4.45104849,9.52185059,8.59436693,-7.09640695,53.0547947,4.22424316,5.56732178,-1.35955811,9.36584473,45.4833984,-55.1486206,-4.8614502,5.76507568,10.0085449,8.68743896,-6.37207031,55.9671021,-0.333435059,0.529328708,0.118652344,0.606782321,-2.31962634,2.53356505,0.0238952637,-1.31402719,-0.486694336,-0.0930720379,-0.724336634,-2.91230737
10,203511,3.8475769,6.21989586,-1.22711792,10.052806,42.8697621,-52.2029302,-4.78380432,4.21060646,9.41605225,8.59436693,-7.18313974,52.6136573,4.15008545,5.64697266,-1.35955811,9.4317627,45.1977539,-55.1046753,-4.80651855,5.44647217,9.86572266,8.60778809,-6.41876221,55.4782104,-0.302508545,0.5729232,0.132440186,0.621043317,-2.3279918,2.90174505,0.0227142334,-1.2358657,-0.44967041,-0.013421159,-0.764377529,-2.8645532
