frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,49,2.46351929,3.2852754,-10.6752502,4.72640699,34.4275136,-32.5697707,-4.41040649,1.193109,-13.4324341,4.2629912,-38.340922,45.5535032,2.48840332,3.14483643,-10.7830811,4.6005249,34.7827148,-32.9013062,-4.45495605,1.37878418,-13.5681152,4.47967529,-68.5491943,80.8401489,-0.0248840332,0.140438974,0.107830811,0.12588209,-0.355201221,0.33153547,0.0445495605,-0.18567518,0.135681152,-0.216684091,30.2082724,-35.2866458
1,20248,2.43863525,3.42571437,-10.5674194,4.85228908,34.072778,-32.2385287,-4.36585693,1.00743382,-13.2967529,4.04630711,-38.3757055,45.5138839,2.44995117,3.15856934,-10.7611084,4.6005249,34.6948242,-32.8024292,-4.45770264,1.30737305,-13.5626221,4.38079834,-67.0358276,78.631897,-0.011315918,0.267145038,0.193688965,0.251764179,-0.622046262,0.563900504,0.0918457031,-0.299939228,0.265869141,-0.33449123,28.6601221,-33.1180131
2,40454,2.41375122,3.56615335,-10.4595886,4.97817117,33.7184948,-31.9075707,-4.32130737,0.821758639,-13.1610718,3.82962302,-38.4105087,45.4742889,2.40875244,3.19152832,-10.7528687,4.62249756,34.5822144,-32.7996826,-4.45495605,1.24694824,-13.5351562,4.29840088,-65.9729004,76.9235229,0.0049987793,0.374625028,0.293280029,0.355673612,-0.863719507,0.892111873,0.133648682,-0.425189604,0.374084473,-0.46877786,27.5623917,-31.449234
3,60831,2.38886719,3.70659232,-10.3517578,5.10405326,33.3646515,-31.5768875,-4.27675781,0.636083458,-13.0253906,3.61293893,-38.4453314,45.4347182,2.35656738,3.23272705,-10.697937,4.64447021,34.4558716,-32.6705933,-4.45495605,1.20574951,-13.510437,4.2956543,-64.0887451,74.8745728,0.0322998047,0.473865272,0.346179199,0.459583046,-1.09122005,1.09370575,0.178198242,-0.569666053,0.485046387,-0.68271537,25.6434137,-29.4398546
4,81167,2.36398315,3.8470313,-10.243927,5.22993535,33.0112355,-31.2464698,-4.23220825,0.450408278,-12.8897095,3.39625484,-38.4801738,45.3951717,2.34283447,3.28491211,-10.6567383,4.68566895,34.3624878,-32.5827026,-4.45495605,1.10687256,-13.4390259,4.1583252,-61.5344238,71.9604492,0.0211486816,0.562119188,0.412811279,0.544266405,-1.35125233,1.33623281,0.222747803,-0.656464281,0.549316406,-0.76207036,23.05425,-26.5652776
5,101449,2.33909912,3.98747027,-10.1360962,5.35581744,32.6582343,-30.9163086,-4.18765869,0.264733098,-12.7540283,3.17957074,-38.5150358,45.3556493,2.34008789,3.32885742,-10.6018066,4.7543335,34.2553711,-32.4316406,-4.40002441,1.00799561,-13.2962036,3.9440918,-58.6065674,67.7087402,-0.000988769531,0.65861285,0.465710449,0.601483943,-1.59713679,1.51533198,0.212365723,-0.743262508,0.542175293,-0.764521053,20.0915316,-22.3530909
6,121630,2.31421509,4.12790925,-10.0282654,5.48169953,32.3056359,-30.586395,-4.14310913,0.0790579173,-12.6183472,2.96288665,-38.5499174,45.3161511,2.34008789,3.39477539,-10.5249023,4.83673096,34.1894531,-32.3162842,-4.37805176,0.928344727,-13.1698608,3.76556396,-55.3765869,63.8305664,-0.0258728027,0.733133855,0.496636963,0.644968572,-1.88381718,1.72988914,0.234942627,-0.849286809,0.551513672,-0.802677312,16.8266695,-18.5144153
7,141914,2.28933105,4.26834822,-9.92043457,5.60758162,31.9534285,-30.2567202,-4.09855957,-0.106617263,-12.482666,2.74620256,-38.5848186,45.2766771,2.34008789,3.47442627,-10.428772,4.92736816,34.1400146,-32.1954346,-4.35882568,0.826721191,-13.0517578,3.57055664,-51.1715698,58.8290405,-0.0507568359,0.793921951,0.508337402,0.680213454,-2.18658619,1.93871433,0.260266113,-0.933338454,0.569091797,-0.824354079,12.5867512,-13.5523635
8,162092,2.26444702,4.40878719,-9.81260376,5.73346371,31.6016001,-29.9272756,-4.05401001,-0.292292443,-12.3469849,2.52951847,-38.6197395,45.2372271,2.34283447,3.55957031,-10.3134155,5.00701904,34.0988159,-32.0553589,-4.35882568,0.722351074,-12.9446411,3.38928223,-47.6834106,54.8794556,-0.0783874512,0.849216882,0.500811768,0.726444665,-2.4972158,2.12808333,0.304815674,-1.01464352,0.59765625,-0.859763757,9.06367114,-9.6422285
9,182414,2.23956299,4.54922617,-9.70477295,5.8593458,31.2501394,-29.5980524,-4.00946045,-0.477967624,-12.2113037,2.31283438,-38.6546801,45.1978011,2.34283447,3.66668701,-10.2062988,5.12237549,33.815918,-32.0306396,-4.38079834,0.552062988,-12.8594971,3.15307617,-47.024231,53.7094116,-0.103271484,0.882539157,0.501525879,0.736970309,-2.56577858,2.4325872,0.371337891,-1.03003061,0.648193359,-0.840241794,8.3695509,-8.51161048
