frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,128,-0.902746582,0.696676767,-2.2976532,1.0039369,-41.7563908,10.4400198,-2.10459595,4.48323961,5.38113098,5.25003039,-65.9890687,16.1837525,-0.911865234,0.530090332,-2.32086182,0.840454102,-55.480957,18.3032227,-2.12585449,4.70214844,5.43548584,5.47668457,-66.612854,16.2130737,0.00911865234,0.166586435,0.0232086182,0.163482798,13.7245662,-7.86320282,0.0212585449,-0.218908823,-0.0543548584,-0.226654184,0.623785299,-0.0293211951
1,20549,-0.89362793,0.863263202,-2.27444458,1.1674197,-41.5575218,10.5800898,-2.0833374,4.26433079,5.32677612,5.0233762,-65.3728066,16.1556215,-0.911865234,0.55480957,-2.32086182,0.867919922,-54.225769,17.2018433,-2.12585449,4.67468262,5.42175293,5.43823242,-66.5359497,16.2103271,0.0182373047,0.308453632,0.0464172363,0.299499775,12.6682472,-6.62175346,0.0425170898,-0.410351826,-0.0949768066,-0.41485622,1.16314314,-0.0547056267
2,41018,-0.884509277,1.02984964,-2.25123596,1.33090249,-41.3594446,10.7203094,-2.06207886,4.04542197,5.27242126,4.79672202,-64.7636905,16.1286771,-0.911865234,0.579528809,-2.31811523,0.917358398,-52.6272583,16.2817383,-2.12585449,4.62524414,5.40252686,5.35858154,-66.4260864,16.1883545,0.027355957,0.450320829,0.0668792725,0.413544096,11.2678137,-5.56142886,0.0637756348,-0.579822172,-0.130105591,-0.561859525,1.66239592,-0.0596773841
3,61675,-0.875390625,1.19643607,-2.22802734,1.49438529,-41.162146,10.8606795,-2.04082031,3.82651315,5.21806641,4.57006783,-64.1613715,16.1029157,-0.911865234,0.626220703,-2.31536865,0.991516113,-50.2542114,15.2105713,-2.12310791,4.53735352,5.38330078,5.2432251,-66.2915039,16.1911011,0.0364746094,0.57021537,0.0873413086,0.502869178,9.09206539,-4.34989179,0.0822875977,-0.71084037,-0.165234375,-0.673157264,2.13013241,-0.0881854207
4,81957,-0.866271973,1.36302251,-2.20481873,1.65786809,-40.9656135,11.0012008,-2.01956177,3.60760432,5.16371155,4.34341365,-63.5655257,16.0783335,-0.909118652,0.697631836,-2.30163574,1.07391357,-47.9388428,14.9029541,-2.12310791,4.43023682,5.36956787,5.07843018,-66.2503052,16.1911011,0.0428466797,0.665390672,0.0968170166,0.583954515,6.9732293,-3.90175328,0.103546143,-0.822632493,-0.205856323,-0.735016527,2.68477944,-0.112767617
5,102475,-0.85715332,1.52960894,-2.18161011,1.82135089,-40.7698345,11.1418742,-1.99830322,3.3886955,5.10935669,4.11675946,-62.9758521,16.0549268,-0.909118652,0.769042969,-2.29888916,1.17553711,-46.2908936,13.8400269,-2.12036133,4.2791748,5.34210205,4.8449707,-66.0250854,16.1911011,0.051965332,0.760565975,0.117279053,0.645813777,5.52105907,-2.69815266,0.122058105,-0.890479305,-0.232745361,-0.728211238,3.0492333,-0.136174313
6,122950,-0.848034668,1.69619538,-2.15840149,1.98483368,-40.574797,11.2827005,-1.97704468,3.16978668,5.05500183,3.89010528,-62.3920703,16.0326917,-0.909118652,0.854187012,-2.29064941,1.27166748,-45.2307129,13.996582,-2.11761475,4.13085938,5.31463623,4.6472168,-66.0031128,16.204834,0.0610839844,0.842008367,0.132247925,0.713166204,4.65591589,-2.71388157,0.140570068,-0.961072698,-0.259634399,-0.757111516,3.61104254,-0.172142237
7,143601,-0.838916016,1.86278181,-2.13519287,2.14831648,-40.3804892,11.4236804,-1.95578613,2.95087785,5.00064697,3.6634511,-61.8139182,16.0116245,-0.90637207,0.983276367,-2.28515625,1.38427734,-44.0386963,13.7878418,-2.11212158,3.93035889,5.28991699,4.42474365,-65.5773926,16.2103271,0.0674560547,0.879505447,0.149963379,0.764039138,3.65820705,-2.36416137,0.156335449,-0.979481033,-0.28927002,-0.761292556,3.76347438,-0.19870261
8,163924,-0.829797363,2.02936825,-2.11198425,2.31179928,-40.1868997,11.5648149,-1.93452759,2.73196903,4.94629211,3.43679691,-61.2411511,15.9917212,-0.90637207,1.12060547,-2.27416992,1.51062012,-43.2092285,13.7521362,-2.109375,3.6529541,5.24871826,4.14733887,-65.0857544,16.1856079,0.076574707,0.90876278,0.162185669,0.801179162,3.02232881,-2.18732129,0.174847412,-0.92098507,-0.302426147,-0.710541955,3.8446033,-0.193886708
9,184334,-0.820678711,2.19595468,-2.08877563,2.47528208,-39.9940172,11.7061048,-1.91326904,2.51306021,4.89193726,3.21014273,-60.6735395,15.9729777,-0.903625488,1.29638672,-2.27142334,1.65893555,-44.2364502,13.7356567,-2.10388184,3.40301514,5.20202637,4.01550293,-64.753418,16.1911011,0.0829467773,0.899567965,0.182647705,0.81634653,4.24243299,-2.02955189,0.190612793,-0.889954928,-0.310089111,-0.805360202,4.07987844,-0.218123329
10,204666,-0.811560059,2.36254112,-2.06556702,2.63876487,-39.8018308,11.847551,-1.8920105,2.29415139,4.8375824,2.98348854,-60.1108682,15.9553901,-0.903625488,1.50512695,-2.25219727,1.8649292,-42.2698975,13.7356567,-2.09014893,3.10089111,5.17730713,3.80950928,-64.0777588,16.1911011,0.0920654297,0.857414166,0.186630249,0.773835675,2.46806667,-1.88810574,0.198138428,-0.806739728,-0.339724731,-0.826020734,3.96689061,-0.235710953
11,224960,-0.802441406,2.52912755,-2.0423584,2.80224767,-39.6103298,11.9891543,-1.87075195,2.07524256,4.78322754,2.75683436,-59.5529347,15.9389542,-0.903625488,1.74133301,-2.25219727,2.11486816,-42.3632812,13.7356567,-2.08190918,2.82073975,5.12512207,3.62548828,-63.5119629,16.1663818,0.101184082,0.787794547,0.209838867,0.687379508,2.75295145,-1.74650248,0.211157227,-0.745497184,-0.341894531,-0.868653922,3.95902819,-0.227427613
12,245345,-0.793322754,2.69571399,-2.01914978,2.96573047,-39.4195038,12.1309155,-1.84949341,1.85633374,4.72887268,2.53018018,-58.9995486,15.9236659,-0.903625488,2.01324463,-2.24945068,2.41699219,-41.6793823,13.7576294,-2.07366943,2.62573242,5.12237549,3.48266602,-63.2125854,16.171875,0.110302734,0.682469361,0.230300903,0.548738282,2.2598785,-1.62671389,0.224176025,-0.769398682,-0.393502808,-0.95248584,4.21303687,-0.248209111
13,265608,-0.784204102,2.86230043,-1.99594116,3.12921327,-39.2293427,12.2728356,-1.82823486,1.63742492,4.67451782,2.30352599,-58.4505302,15.9095209,-0.903625488,2.15881348,-2.20550537,2.49664307,-41.5228271,13.7988281,-2.07092285,2.45819092,5.06744385,3.25744629,-62.1112061,16.1663818,0.119421387,0.703486949,0.209564209,0.6325702,2.29348445,-1.5259925,0.242687988,-0.820766001,-0.392926025,-0.953920298,3.66067584,-0.256860935
14,285977,-0.775085449,3.02888686,-1.97273254,3.29269606,-39.0398365,12.4149155,-1.80697632,1.41851609,4.62016296,2.07687181,-57.9057101,15.896515,-0.903625488,2.30987549,-2.20001221,2.58453369,-41.0641479,13.8015747,-2.07366943,2.31811523,4.95483398,2.99377441,-61.9189453,16.1663818,0.128540039,0.719011372,0.227279663,0.708162373,2.02431147,-1.3866592,0.266693115,-0.899599141,-0.334671021,-0.916902607,4.01323523,-0.269866851
15,306296,-0.765966797,3.1954733,-1.94952393,3.45617886,-38.4129925,12.2353727,-1.78571777,1.19960727,4.56580811,1.85021762,-57.3649279,15.8846438,-0.900878906,2.45819092,-2.19726562,2.73010254,-40.6521606,13.8317871,-2.07366943,2.20825195,4.90814209,2.74108887,-61.5563965,16.1663818,0.134912109,0.737282378,0.247741699,0.726076323,2.23916814,-1.59641437,0.28795166,-1.00864468,-0.342333984,-0.890871245,4.19146857,-0.281738023
16,326626,-0.756848145,3.36205973,-1.92631531,3.61966166,-37.5312107,11.8607796,-1.76445923,0.980698448,4.51145325,1.62356344,-56.828032,15.873903,-0.900878906,2.62023926,-2.17254639,2.8427124,-40.2511597,13.8208008,-2.07092285,2.03796387,4.85595703,2.44171143,-60.4989624,16.1636353,0.144030762,0.741820473,0.246231079,0.776949257,2.71994899,-1.96002115,0.306463623,-1.05726542,-0.344503784,-0.818147988,3.6709304,-0.289732253
17,346910,-0.747729492,3.52864617,-1.90310669,3.78314446,-36.6622372,11.4866498,-1.74320068,0.761789625,4.45709839,1.39690925,-56.2948786,15.8642881,-0.900878906,2.76306152,-2.16705322,2.93884277,-39.9215698,13.7741089,-2.06542969,1.81274414,4.76257324,2.18078613,-60.0457764,16.171875,0.153149414,0.765584643,0.263946533,0.844301684,3.25933264,-2.28745909,0.322229004,-1.05095452,-0.305474854,-0.783876879,3.75089774,-0.30758689
18,367264,-0.73861084,3.6952326,-1.87989807,3.94662725,-35.8052932,11.1129704,-1.72194214,0.542880802,4.40274353,1.17025507,-55.7653314,15.8557946,-0.898132324,2.88391113,-2.16430664,3.04046631,-39.256897,13.7109375,-2.05718994,1.57653809,4.69665527,1.90338135,-59.8892212,16.1828613,0.159521484,0.811321468,0.284408569,0.906160946,3.45160375,-2.59796711,0.335247803,-1.03365728,-0.293911743,-0.733126278,4.1238898,-0.32706668
19,387502,-0.729492188,3.86181904,-1.85668945,4.11011005,-34.9596708,10.7397288,-1.70068359,0.323971979,4.34838867,0.943600885,-55.2392608,15.8484181,-0.895385742,2.99926758,-2.16156006,3.18603516,-38.4494019,13.5351562,-2.04345703,1.31011963,4.65820312,1.6973877,-58.8812256,16.1471558,0.165893555,0.862551458,0.304870605,0.924074896,3.48973107,-2.79542745,0.342773437,-0.98614765,-0.309814453,-0.75378681,3.64196483,-0.298737693
20,407881,-0.720373535,4.02840547,-1.83348083,4.27359285,-34.124724,10.3669126,-1.67942505,0.105063156,4.29403381,0.716946701,-54.7165435,15.8421538,-0.89263916,3.08441162,-2.12860107,3.35083008,-37.9275513,13.425293,-2.02972412,1.10961914,4.65270996,1.63421631,-58.6340332,16.1169434,0.172265625,0.943993851,0.295120239,0.922762771,3.80282724,-3.05838041,0.350299072,-1.00455598,-0.358676147,-0.917269607,3.91748966,-0.274789586
21,428396,-0.711254883,4.19499191,-1.81027222,4.43707565,-33.2998619,9.99450943,-1.6581665,-0.113845667,4.23967896,0.490292517,-54.1970625,15.8369971,-0.89263916,3.20800781,-2.09289551,3.59527588,-36.8893433,13.1259155,-2.01599121,0.881652832,4.63348389,1.43096924,-58.2138062,16.1444092,0.181384277,0.986984094,0.282623291,0.841799768,3.58948132,-3.1314061,0.357824707,-0.995498499,-0.393804932,-0.940676721,4.01674364,-0.307412068
22,448743,-0.70213623,4.36157834,-1.7870636,4.60055844,-32.484542,9.6225073,-1.63690796,-0.33275449,4.1853241,0.263638333,-53.680706,15.8329434,-0.89263916,3.45245361,-2.04345703,3.93585205,-36.7575073,12.7880859,-2.01049805,0.645446777,4.59777832,1.18652344,-57.3596191,16.1224365,0.19050293,0.909124729,0.256393433,0.664706394,4.27296527,-3.16557864,0.373590088,-0.978201267,-0.412454224,-0.922885105,3.67891318,-0.289493146
23,469060,-0.693017578,4.52816478,-1.76385498,4.76404124,-31.6782651,9.25089428,-1.61564941,-0.551663312,4.13096924,0.0369841485,-53.1673673,15.8299878,-0.889892578,3.71887207,-1.99127197,4.19403076,-35.7000732,12.387085,-2.00775146,0.422973633,4.55383301,0.961303711,-57.2525024,16.1416626,0.196875,0.809292707,0.227416992,0.57001048,4.02180818,-3.13619068,0.392102051,-0.974636945,-0.42286377,-0.924319562,4.08513512,-0.311674782
24,494498,-0.683898926,4.69475121,-1.74064636,4.92752404,-30.8805702,8.87965861,-1.59439087,-0.770572135,4.07661438,-0.189670036,-52.6569449,15.8281256,-0.889892578,3.96606445,-1.9418335,4.27368164,-34.9310303,11.9311523,-2.00500488,0.178527832,4.49615479,0.697631836,-56.3790894,16.1361694,0.205993652,0.728686759,0.201187134,0.653842399,4.05046006,-3.05149373,0.410614014,-0.949099967,-0.419540405,-0.887301872,3.72214446,-0.308043814
25,514825,-0.674780273,4.86133765,-1.71743774,5.09100684,-30.0910312,8.50878871,-1.57313232,-0.989480958,4.02225952,-0.41632422,-52.1493415,15.8273519,-0.889892578,4.21875,-1.93359375,4.40002441,-33.8763428,11.3269043,-2.00500488,-0.0466918945,4.4329834,0.469665527,-55.8352661,16.1334229,0.215112305,0.642587648,0.216156006,0.690982423,3.78531153,-2.81811559,0.431872559,-0.942789064,-0.410723877,-0.885989747,3.68592463,-0.30607092
26,535172,-0.665661621,5.02792408,-1.69422913,5.25448963,-29.3092529,8.13827314,-1.55187378,-1.20838978,3.96790466,-0.642978404,-51.6444641,15.8276618,-0.884399414,4.40826416,-1.91436768,4.5098877,-33.2391357,11.0687256,-2.00500488,-0.288391113,4.39727783,0.219726562,-55.8078003,16.1499023,0.218737793,0.619659923,0.22013855,0.744601939,3.92988284,-2.93045245,0.453131104,-0.919998668,-0.429373169,-0.862704967,4.16333616,-0.322240501
27,555668,-0.656542969,5.19451052,-1.67102051,5.41797243,-28.5348679,7.76810061,-1.53061523,-1.4272986,3.9135498,-0.869632588,-51.1422239,15.8290504,-0.884399414,4.51538086,-1.91711426,4.61425781,-32.4453735,10.7226562,-2.00500488,-0.510864258,4.34234619,-0.0357055664,-54.9783325,16.1251831,0.227856445,0.679129659,0.24609375,0.80371462,3.91050567,-2.95455564,0.474389648,-0.916434346,-0.428796387,-0.833927022,3.83610865,-0.296132711
28,575953,-0.647424316,5.36109695,-1.64781189,5.58145523,-27.7675341,7.39825998,-1.50935669,-1.64620743,3.85919495,-1.09628677,-50.6425355,15.8315126,-0.884399414,4.5401001,-1.91986084,4.72961426,-31.3082886,10.4782104,-1.99951172,-0.656433105,4.30114746,-0.214233398,-54.4729614,16.1251831,0.236975098,0.820996856,0.27204895,0.851840972,3.54075452,-3.07995047,0.490155029,-0.989774322,-0.441952515,-0.882053374,3.83042595,-0.293670525
29,596271,-0.638305664,5.52768339,-1.62460327,5.74493803,-27.0069323,7.02874025,-1.48809814,-1.86511625,3.80484009,-1.32294096,-50.1453172,15.8350433,-0.881652832,4.5401001,-1.87866211,4.86419678,-30.9649658,10.0140381,-1.98028564,-0.818481445,4.25170898,-0.411987305,-54.4152832,16.1251831,0.243347168,0.987583291,0.254058838,0.88074125,3.95803356,-2.98529784,0.4921875,-1.0466348,-0.446868896,-0.910953652,4.26996599,-0.290139762
30,616545,-0.629187012,5.69426982,-1.60139465,5.90842082,-26.2527641,6.65953054,-1.4668396,-2.08402507,3.75048523,-1.54959514,-49.6504907,15.8396376,-0.881652832,4.6005249,-1.82373047,5.06195068,-29.5751953,9.65148926,-1.98303223,-1.00799561,4.14733887,-0.681152344,-53.555603,16.1224365,0.25246582,1.09374492,0.222335815,0.846470141,3.32243125,-2.99195872,0.516192627,-1.07602947,-0.396853638,-0.868442797,3.90511234,-0.282798945
31,636885,-0.620068359,5.86085626,-1.57818604,6.07190362,-25.50475,6.2906201,-1.44558105,-2.3029339,3.69613037,-1.77624933,-49.1579806,15.8452901,-0.881652832,4.71038818,-1.76330566,5.25695801,-29.2703247,9.24224854,-1.9720459,-1.19476318,4.06768799,-0.881652832,-52.819519,16.1224365,0.261584473,1.15046808,0.185119629,0.814945615,3.76557476,-2.95162843,0.526464844,-1.10817071,-0.371557617,-0.894596493,3.66153846,-0.277146391
32,657402,-0.610949707,6.02744269,-1.55497742,6.23538642,-24.7626277,5.92199832,-1.42432251,-2.52184272,3.64177551,-2.00290351,-48.6677146,15.8519958,-0.87890625,4.89440918,-1.72210693,5.46844482,-28.3062744,8.99230957,-1.96929932,-1.38153076,3.90838623,-1.07666016,-52.7838135,16.1279297,0.267956543,1.13303351,0.167129517,0.766941596,3.54364671,-3.07031125,0.544976807,-1.14031196,-0.266610718,-0.926243353,4.1160989,-0.275933882
33,677767,-0.601831055,6.19402913,-1.5317688,6.39886922,-24.0261509,5.55365469,-1.40306396,-2.74075154,3.58742065,-2.22955769,-48.1796231,15.8597494,-0.876159668,5.13336182,-1.6809082,5.69366455,-27.4905396,8.52539062,-1.96380615,-1.59576416,3.74084473,-1.2991333,-51.9296265,16.1251831,0.274328613,1.06066731,0.149139404,0.705204667,3.46438868,-2.97173593,0.560742188,-1.14498738,-0.153424072,-0.930424393,3.7500034,-0.265433755
34,698149,-0.592712402,6.36061556,-1.50856018,6.56235201,-23.2950875,5.18557882,-1.38180542,-2.95966036,3.5330658,-2.45621188,-47.6936391,15.8685455,-0.876159668,5.43823242,-1.63421631,5.89691162,-27.1554565,8.26721191,-1.96380615,-1.85394287,3.63647461,-1.56555176,-51.2759399,16.1251831,0.283447266,0.922383143,0.125656128,0.665440394,3.86036906,-3.08163309,0.582000732,-1.10571749,-0.103408813,-0.89066012,3.58230084,-0.256637632
35,718672,-0.58359375,6.527202,-1.48535156,6.72583481,-22.5692189,4.81776044,-1.36054688,-3.17856919,3.47871094,-2.68286606,-47.2096982,15.8783788,-0.867919922,5.7321167,-1.60125732,6.04248047,-25.9112549,7.82226563,-1.96380615,-2.17529297,3.60626221,-1.84570312,-51.0012817,16.1224365,0.284326172,0.795085301,0.115905762,0.683354344,3.342036,-3.00450519,0.603259277,-1.00327622,-0.12755127,-0.837162937,3.79158355,-0.244057688
36,739028,-0.574475098,6.69378844,-1.46214294,6.88931761,-21.8483386,4.45018936,-1.33928833,-3.39747801,3.42435608,-2.90952025,-46.7277382,15.8892441,-0.86517334,5.96008301,-1.590271,6.17156982,-25.74646,7.44598389,-1.96105957,-2.37304688,3.59802246,-2.02423096,-50.5426025,16.1251831,0.290698242,0.733705427,0.128128052,0.717747786,3.89812134,-2.99579453,0.62177124,-1.02443114,-0.173666382,-0.88528929,3.81486433,-0.235939055
37,759583,-0.565356445,6.86037487,-1.43893433,7.05280041,-21.1322515,4.08285552,-1.31802979,-3.61638683,3.37000122,-3.13617443,-46.2476992,15.9011357,-0.862426758,6.11663818,-1.57653809,6.34735107,-24.5956421,7.27020264,-1.94732666,-2.54058838,3.5925293,-2.21099854,-49.671936,16.1251831,0.297070312,0.743736687,0.13760376,0.705449333,3.46339058,-3.18734712,0.629296875,-1.07579845,-0.222528076,-0.925175896,3.4242368,-0.224047415
38,779871,-0.556237793,7.02696131,-1.41572571,7.2162832,-20.4207728,3.71574894,-1.29677124,-3.83529566,3.31564636,-3.36282862,-45.7695235,15.9140483,-0.862426758,6.15509033,-1.55456543,6.42700195,-24.1067505,6.73187256,-1.9418335,-2.68890381,3.54309082,-2.45544434,-49.4412231,16.1416626,0.306188965,0.871870974,0.138839722,0.789281252,3.68597771,-3.01612362,0.645062256,-1.14639185,-0.227444458,-0.907384279,3.67169969,-0.227614317
39,800182,-0.547119141,7.19354774,-1.39251709,7.379766,-19.7137273,3.34885974,-1.2755127,-4.05420448,3.2612915,-3.5894828,-45.293155,15.9279763,-0.862426758,6.18804932,-1.52984619,6.56433105,-23.5931396,6.36383057,-1.925354,-2.83996582,3.515625,-2.73284912,-49.034729,16.1279297,0.315307617,1.00549842,0.137329102,0.815434948,3.87941239,-3.01497083,0.649841309,-1.21423866,-0.254333496,-0.856633678,3.74157396,-0.199953385
40,820455,-0.538000488,7.36013418,-1.36930847,7.5432488,-19.0109487,2.98217812,-1.25425415,-4.2731133,3.20693665,-3.81613698,-44.8185401,15.9429142,-0.859680176,6.23748779,-1.49139404,6.72088623,-22.4368286,5.9765625,-1.92260742,-2.99377441,3.46893311,-2.95257568,-48.2299805,16.1471558,0.321679687,1.12264638,0.122085571,0.82236257,3.42587993,-2.99438438,0.668353271,-1.27933889,-0.26199646,-0.8635613,3.41144041,-0.204241566
41,840943,-0.528881836,7.52672061,-1.34609985,7.7067316,-18.3122791,2.61569439,-1.23299561,-4.49202212,3.15258179,-4.04279117,-44.3456264,15.9588564,-0.859680176,6.328125,-1.45568848,6.8637085,-22.1951294,5.80078125,-1.90887451,-3.16680908,3.4387207,-3.12835693,-47.9580688,16.1224365,0.33079834,1.19859561,0.109588623,0.843023101,3.88285033,-3.18508686,0.675878906,-1.32521304,-0.286138916,-0.914434234,3.61244246,-0.163580168
