frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,105,2.10459595,7.37987574,-1.38403015,10.5779451,6.86316334,-10.4316507,-3.41792908,-1.38694361,-0.125079346,-3.00520643,9.20842838,-5.86560731,2.12585449,7.39654541,-1.39801025,10.5111694,6.74560547,-10.3491211,-3.45245361,-1.34307861,-0.126342773,-2.86193848,9.11590576,-5.7321167,-0.0212585449,-0.0166696746,0.0139801025,0.0667756442,0.117557868,-0.0825295917,0.0345245361,-0.0438649934,0.00126342773,-0.143267954,0.092522623,-0.133490607
1,20531,2.0833374,7.36320606,-1.37005005,10.6447207,6.9806832,-10.5141763,-3.38340454,-1.4308086,-0.123815918,-3.14847438,9.30094766,-5.9962898,2.12585449,7.39654541,-1.39251709,10.5111694,6.76208496,-10.3518677,-3.45245361,-1.34857178,-0.107116699,-2.86468506,9.12139893,-5.74859619,-0.0425170898,-0.0333393492,0.022467041,0.133551288,0.218598241,-0.162308662,0.0690490723,-0.0822368227,-0.0166992187,-0.283789326,0.179548736,-0.247693607
2,40828,2.06207886,7.34653639,-1.35606995,10.7114964,7.09817132,-10.5967008,-3.34888,-1.47467359,-0.12255249,-3.29174234,9.39346747,-6.12691919,2.12585449,7.39654541,-1.39251709,10.5111694,6.77581787,-10.3683472,-3.45245361,-1.37329102,-0.0933837891,-2.89215088,9.12139893,-5.7623291,-0.0637756348,-0.0500090238,0.0364471436,0.200326933,0.322353447,-0.228353607,0.103573608,-0.101382578,-0.0291687012,-0.399591459,0.272068542,-0.364590088
3,61117,2.04082031,7.32986671,-1.34208984,10.778272,7.215628,-10.6792241,-3.31435547,-1.51853859,-0.121289062,-3.43501029,9.48598793,-6.25749591,2.12310791,7.39654541,-1.38702393,10.5111694,6.79229736,-10.3710938,-3.45245361,-1.39251709,-0.0659179688,-2.96081543,9.140625,-5.88043213,-0.0822875977,-0.0666786984,0.044934082,0.267102577,0.423330637,-0.308130334,0.138098145,-0.126021497,-0.0553710937,-0.474194862,0.345362933,-0.377063778
4,81478,2.01956177,7.31319704,-1.32810974,10.8450477,7.33305356,-10.7617464,-3.27983093,-1.56240358,-0.120025635,-3.57827825,9.57850919,-6.38802038,2.12310791,7.39654541,-1.36230469,10.5166626,6.79229736,-10.3738403,-3.4552002,-1.42272949,-0.0494384766,-2.99926758,9.140625,-5.88867188,-0.103546143,-0.0833483729,0.0341949463,0.328385057,0.540756195,-0.38790602,0.175369263,-0.139674088,-0.0705871582,-0.579010667,0.437884185,-0.499348501
5,101791,1.99830322,7.29652736,-1.31412964,10.9118233,7.4504483,-10.8442677,-3.2453064,-1.60626857,-0.118762207,-3.7215462,9.67103136,-6.51849302,2.12310791,7.40753174,-1.36505127,10.5633545,6.81427002,-10.395813,-3.45245361,-1.46392822,-0.0384521484,-3.05145264,9.16259766,-5.91064453,-0.124804688,-0.111004376,0.0509216309,0.348468807,0.636178285,-0.448454677,0.207147217,-0.142340351,-0.0803100586,-0.670093562,0.508433699,-0.607848492
6,122094,1.97704468,7.27985769,-1.30014954,10.9785989,7.56781255,-10.9267881,-3.21078186,-1.65013357,-0.117498779,-3.86481415,9.76355457,-6.64891427,2.12310791,7.42126465,-1.36779785,10.6210327,6.84997559,-10.4122925,-3.45245361,-1.51611328,-0.0357055664,-3.1640625,9.18457031,-5.99853516,-0.146063232,-0.14140696,0.0676483154,0.357566228,0.717836963,-0.51449563,0.241671753,-0.134020286,-0.0817932129,-0.700751653,0.57898426,-0.650379114
7,142491,1.95578613,7.26318801,-1.28616943,11.0453746,7.6851466,-11.0093078,-3.17625732,-1.69399856,-0.116235352,-4.00808211,9.85607897,-6.77928454,2.12310791,7.43499756,-1.35955811,10.6732178,6.9241333,-10.4177856,-3.45245361,-1.57104492,-0.0329589844,-3.2711792,9.22851562,-6.06445312,-0.167321777,-0.171809545,0.0733886719,0.372156814,0.761013301,-0.59152213,0.276196289,-0.122953638,-0.0832763672,-0.736902908,0.627563341,-0.714831416
8,162956,1.93452759,7.24651834,-1.27218933,11.1121502,7.80245077,-11.0918267,-3.14173279,-1.73786355,-0.114971924,-4.15135006,9.94860467,-6.90960426,2.12585449,7.43499756,-1.34033203,10.7418823,6.99829102,-10.4370117,-3.45245361,-1.6204834,-0.0274658203,-3.39752197,9.23400879,-6.10839844,-0.191326904,-0.18847922,0.0681427002,0.370267907,0.804159758,-0.654815025,0.310720825,-0.117380155,-0.0875061035,-0.753828088,0.714595877,-0.801205821
9,183361,1.91326904,7.22984866,-1.25820923,11.1789259,7.91972537,-11.1743451,-3.10720825,-1.78172855,-0.113708496,-4.29461801,10.0411318,-7.03987384,2.12585449,7.42675781,-1.3293457,10.7830811,7.03399658,-10.4425049,-3.45245361,-1.66168213,-0.0247192383,-3.515625,9.3548584,-6.15234375,-0.212585449,-0.196909148,0.0711364746,0.395844821,0.885728791,-0.731840223,0.345245361,-0.120046418,-0.0889892578,-0.778993014,0.686273405,-0.887530091
