frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,122,1.77558289,0.424765146,-17.6062775,-1.03540026,42.4628715,8.53802638,-2.90401611,3.28410937,-0.250158691,3.12911974,-20.3881153,-24.4544172,1.79077148,0.255432129,-17.7841187,-1.21948242,54.0774536,16.2075806,-2.93334961,3.49090576,-0.255432129,3.33435059,-20.4125977,-24.9417114,-0.0151885986,0.169333017,0.177841187,0.184082163,-11.6145821,-7.66955419,0.0293334961,-0.206796396,0.0052734375,-0.205230844,0.0244823442,0.487294246
1,20518,1.75764771,0.594098163,-17.4284363,-0.851318096,42.4986273,8.49667407,-2.87468262,3.07731297,-0.247631836,2.9238889,-20.3635874,-23.9589662,1.79351807,0.266418457,-17.7648926,-1.19476318,53.5253906,15.5703735,-2.93334961,3.46069336,-0.252685547,3.27941895,-20.4098511,-24.8318481,-0.0358703613,0.327679706,0.336456299,0.343445087,-11.0267633,-7.07369947,0.0586669922,-0.38338039,0.00505371094,-0.355530048,0.0462636851,0.872881908
2,40849,1.73971252,0.763431181,-17.2505951,-0.667235934,42.5343912,8.45533319,-2.84534912,2.87051657,-0.24510498,2.71865805,-20.3390164,-23.4661952,1.79351807,0.304870605,-17.7429199,-1.15081787,51.9625854,14.7161865,-2.93334961,3.4085083,-0.252685547,3.23547363,-20.390625,-24.6478271,-0.053805542,0.458560575,0.492324829,0.483581937,-9.42819426,-6.26085333,0.0880004883,-0.537991728,0.00758056641,-0.51681558,0.0516086215,1.18163191
3,61233,1.72177734,0.932764198,-17.0727539,-0.483153771,42.5701632,8.41400371,-2.81601562,2.66372018,-0.242578125,2.51342721,-20.3144076,-22.9760227,1.79351807,0.368041992,-17.6550293,-1.07940674,49.7598267,13.6395264,-2.93060303,3.32061768,-0.252685547,3.15032959,-20.423584,-24.4171143,-0.0717407227,0.564722206,0.582275391,0.596252967,-7.18966346,-5.22552266,0.114587402,-0.656897499,0.0101074219,-0.636902382,0.109176384,1.44109154
4,81619,1.70384216,1.10209722,-16.8949127,-0.299071608,42.6059434,8.37268561,-2.78668213,2.45692378,-0.24005127,2.30819636,-20.2897664,-22.4883705,1.79626465,0.453186035,-17.4902344,-0.92010498,47.9745483,12.5354004,-2.93060303,3.20526123,-0.252685547,3.02398682,-20.3741455,-24.2193604,-0.0924224854,0.64891118,0.595321655,0.621033372,-5.36860498,-4.16271478,0.143920898,-0.74833745,0.0126342773,-0.715790452,0.0843791241,1.73098983
5,101969,1.68590698,1.27143023,-16.7170715,-0.114989445,42.6417317,8.33137888,-2.75734863,2.25012738,-0.237524414,2.10296552,-20.2650981,-22.0031636,1.79351807,0.55480957,-17.3693848,-0.741577148,46.892395,11.9970703,-2.93060303,3.06243896,-0.252685547,2.86743164,-20.4043579,-24.0628052,-0.107611084,0.716620662,0.652313232,0.626587703,-4.25066335,-3.66569144,0.173254395,-0.81231158,0.0151611328,-0.764466121,0.13925984,2.0596416
6,122300,1.6679718,1.44076325,-16.5392303,0.0690927174,42.6775282,8.29008348,-2.72801514,2.04333099,-0.234997559,1.89773468,-20.240408,-21.5203298,1.79351807,0.659179688,-17.210083,-0.571289062,46.3018799,11.6674805,-2.91687012,2.90313721,-0.252685547,2.71087646,-20.3659058,-23.9419556,-0.125546265,0.781583562,0.670852661,0.64038178,-3.62435172,-3.37739699,0.18885498,-0.859806218,0.0176879883,-0.81314179,0.12549775,2.42162577
7,142653,1.65003662,1.61009627,-16.3613892,0.25317488,42.7133328,8.24879939,-2.69868164,1.83653459,-0.232470703,1.69250383,-20.2157016,-21.0397998,1.79351807,0.771789551,-17.0095825,-0.384521484,45.703125,10.7199097,-2.90863037,2.71362305,-0.252685547,2.55981445,-20.3686523,-23.7771606,-0.143481445,0.838306716,0.648193359,0.637696365,-2.98979216,-2.47111028,0.20994873,-0.877088454,0.0202148437,-0.867310622,0.152950776,2.73736083
8,162959,1.63210144,1.77942928,-16.183548,0.437257043,42.7491457,8.2075266,-2.66934814,1.6297382,-0.229943848,1.48727299,-20.1909841,-20.5615069,1.79077148,0.917358398,-16.8640137,-0.200500488,45,10.546875,-2.88391113,2.49664307,-0.252685547,2.37304688,-20.3659058,-23.4942627,-0.158670044,0.862070886,0.680465698,0.637757531,-2.25085425,-2.3393484,0.214562988,-0.86690487,0.0227416992,-0.885773889,0.174921653,2.93275576
9,183283,1.61416626,1.9487623,-16.0057068,0.621339206,42.7849669,8.16626507,-2.64001465,1.4229418,-0.227416992,1.28204214,-20.166261,-20.0853869,1.77429199,1.04095459,-16.7102051,-0.0521850586,45.0192261,10.1925659,-2.86743164,2.26867676,-0.252685547,2.10388184,-20.3659058,-22.8103638,-0.160125732,0.907807712,0.704498291,0.673524264,-2.23425919,-2.02630084,0.227416992,-0.845734958,0.0252685547,-0.821839694,0.199644745,2.72497686
