frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,108,2.75174561,1.28381153,-0.519351196,-1.32925915,46.3495845,-47.1257247,-1.94688721,4.66833386,0.630834961,6.06324047,46.7754705,-46.7057492,2.77954102,1.18103027,-0.524597168,-1.45843506,59.8590088,-60.4248047,-1.96655273,4.83123779,0.637207031,6.24023438,60.7296753,-60.3341675,-0.0277954102,0.102781256,0.00524597168,0.12917591,-13.5094243,13.29908,0.0196655273,-0.162903937,-0.00637207031,-0.176993903,-13.9542048,13.6284182
1,27450,2.7239502,1.38659279,-0.514105225,-1.20008324,46.3531817,-47.122151,-1.92722168,4.50542992,0.624462891,5.88624657,46.7747767,-46.7064283,2.77954102,1.20849609,-0.535583496,-1.44470215,57.8952026,-58.3676147,-1.96655273,4.80651855,0.634460449,6.22650146,58.6477661,-59.0817261,-0.0555908203,0.178096692,0.0214782715,0.244618909,-11.5420209,11.2454638,0.0393310547,-0.301088636,-0.00999755859,-0.340254895,-11.8729894,12.3752978
2,47714,2.69615479,1.48937404,-0.508859253,-1.07090733,46.3567791,-47.1185775,-1.90755615,4.34252598,0.61809082,5.70925267,46.774083,-46.7071074,2.77954102,1.21398926,-0.52734375,-1.4364624,56.4477539,-56.7938232,-1.95281982,4.77905273,0.634460449,6.18255615,57.0272827,-57.7770996,-0.0833862305,0.275384785,0.0184844971,0.365555073,-10.0909748,9.67524576,0.0452636719,-0.436526752,-0.0163696289,-0.473303486,-10.2531998,11.0699922
3,67956,2.66835937,1.5921553,-0.503613281,-0.94173142,46.3603767,-47.1150042,-1.88789062,4.17962205,0.61171875,5.53225876,46.7733892,-46.7077864,2.77954102,1.23596191,-0.52734375,-1.38153076,54.4976807,-54.5965576,-1.95007324,4.72961426,0.634460449,6.08917236,54.9975586,-55.6869507,-0.111181641,0.356193385,0.0237304688,0.439799342,-8.13730396,7.48155342,0.0621826172,-0.549992213,-0.0227416992,-0.556913599,-8.22416942,8.97916424
4,88221,2.64056396,1.69493655,-0.49836731,-0.812555511,46.3639746,-47.1114311,-1.8682251,4.01671811,0.60534668,5.35526486,46.7726954,-46.7084655,2.75756836,1.27166748,-0.52734375,-1.28265381,52.2592163,-53.0529785,-1.95007324,4.68017578,0.637207031,5.97930908,53.4292603,-53.3578491,-0.117004395,0.423269074,0.0289764404,0.470098298,-5.89524175,5.94154738,0.0818481445,-0.663457673,-0.0318603516,-0.624044221,-6.65656486,6.64938359
5,108488,2.61276855,1.79771781,-0.493121338,-0.683379601,46.3675726,-47.1078583,-1.84855957,3.85381417,0.598974609,5.17827096,46.7720016,-46.7091446,2.7520752,1.2991333,-0.52734375,-1.18103027,51.0122681,-52.2894287,-1.95556641,4.60876465,0.637207031,5.84472656,51.9598389,-51.8032837,-0.139306641,0.49858451,0.0342224121,0.497650673,-4.64469542,5.18157041,0.107006836,-0.754950477,-0.0382324219,-0.666455604,-5.18783723,5.09413906
6,128753,2.58497314,1.90049907,-0.487875366,-0.554203691,46.371171,-47.1042857,-1.82889404,3.69091023,0.592602539,5.00127706,46.7713079,-46.7098237,2.74932861,1.31011963,-0.52734375,-1.09313965,52.2399902,-53.7808228,-1.95556641,4.54833984,0.637207031,5.71838379,52.7893066,-51.0397339,-0.164355469,0.590379439,0.0394683838,0.538935957,-5.86881927,6.67653706,0.126672363,-0.857429609,-0.0446044922,-0.717106733,-6.01799876,4.32991015
7,148999,2.55717773,2.00328032,-0.482629395,-0.425027782,46.3747695,-47.1007133,-1.80922852,3.5280063,0.586230469,4.82428315,46.7706141,-46.7105028,2.74932861,1.33209229,-0.524597168,-1.00250244,51.2841797,-52.5778198,-1.96105957,4.47418213,0.626220703,5.5947876,51.9790649,-52.4514771,-0.192150879,0.671188039,0.0419677734,0.57747466,-4.90941018,5.47710651,0.151831055,-0.946175832,-0.0399902344,-0.770504445,-5.20845081,5.74097421
8,169222,2.52938232,2.10606158,-0.477383423,-0.295851872,46.3783683,-47.0971412,-1.78956299,3.36510236,0.579858398,4.64728925,46.7699204,-46.711182,2.74932861,1.40350342,-0.524597168,-0.840454102,50.5810547,-52.0477295,-1.96380615,4.3862915,0.615234375,5.48492432,51.2182617,-51.7044067,-0.219946289,0.702558162,0.0472137451,0.544602229,-4.2026864,4.95058834,0.174243164,-1.02118914,-0.0353759766,-0.837635066,-4.44834133,4.99322478
9,189619,2.50158691,2.20884284,-0.472137451,-0.166675962,46.3819673,-47.0935692,-1.76989746,3.20219842,0.573486328,4.47029535,46.7692267,-46.7118611,2.73284912,1.42822266,-0.521850586,-0.703125,49.8394775,-51.2896729,-1.96929932,4.25445557,0.615234375,5.25970459,50.4025269,-51.4352417,-0.231262207,0.78062018,0.0497131348,0.536449038,-3.45751025,4.19610363,0.199401855,-1.05225714,-0.0417480469,-0.789409243,-3.63330019,4.72338061
