frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,118,1.82724609,4.79166578,0.28006897,6.71408094,34.8113461,-32.636776,-0.195776367,0.249575674,1.50095215,-0.226269663,-19.4618745,20.503864,1.84570312,4.66644287,0.282897949,6.60552979,34.9804688,-32.7804565,-0.197753906,0.425720215,1.51611328,-0.0549316406,-19.47052,20.5252075,-0.0184570313,0.12522291,-0.00282897949,0.108551157,-0.169122608,0.143680544,0.00197753906,-0.176144541,-0.0151611328,-0.171338022,0.00864551856,-0.0213434735
1,20451,1.80878906,4.91688869,0.27723999,6.81988552,34.6423235,-32.4931417,-0.193798828,0.0734311335,1.48579102,-0.397607685,-19.4532297,20.4825207,1.84570312,4.67468262,0.282897949,6.60827637,34.9612427,-32.7612305,-0.200500488,0.406494141,1.51885986,-0.0769042969,-19.47052,20.475769,-0.0369140625,0.242206074,-0.00565795898,0.21160915,-0.318919201,0.268088781,0.00670166016,-0.333063007,-0.0330688477,-0.320703388,0.0172902793,0.00675163639
2,40641,1.79033203,5.0421116,0.274411011,6.92569009,34.4734044,-32.3495688,-0.191821289,-0.102713407,1.47062988,-0.568945707,-19.4445857,20.4611774,1.84570312,4.70489502,0.280151367,6.65222168,34.9365234,-32.7255249,-0.197753906,0.368041992,1.52160645,-0.118103027,-19.47052,20.5032349,-0.0553710938,0.337216581,-0.00574035645,0.273468412,-0.463119072,0.375956105,0.00593261719,-0.470755399,-0.0509765625,-0.45084268,0.0259342739,-0.0420574211
3,60910,1.771875,5.16733451,0.271582031,7.03149467,34.3045874,-32.2060566,-0.18984375,-0.278857948,1.45546875,-0.740283729,-19.4359425,20.4398343,1.84570312,4.7543335,0.280151367,6.68792725,34.8925781,-32.6925659,-0.197753906,0.31036377,1.52435303,-0.20324707,-19.47052,20.5252075,-0.073828125,0.413001014,-0.00856933594,0.343567421,-0.587990734,0.486509361,0.00791015625,-0.589221717,-0.0688842773,-0.537036659,0.0345775027,-0.0853731871
4,81088,1.75341797,5.29255742,0.268753052,7.13729924,34.1358711,-32.0626042,-0.187866211,-0.455002489,1.44030762,-0.911621751,-19.4273001,20.4184913,1.84570312,4.8147583,0.280151367,6.73461914,34.8266602,-32.6266479,-0.197753906,0.227966309,1.52160645,-0.291137695,-19.4677734,20.5224609,-0.0922851562,0.477799119,-0.0113983154,0.402680101,-0.690789022,0.564043749,0.00988769531,-0.682968797,-0.0812988281,-0.620484056,0.040473384,-0.10396959
5,101372,1.73496094,5.41778033,0.265924072,7.24310382,33.9672542,-31.919211,-0.185888672,-0.631147029,1.42514648,-1.08295977,-19.4186584,20.3971485,1.84295654,4.87792969,0.280151367,6.77856445,34.7827148,-32.5827026,-0.200500488,0.115356445,1.51885986,-0.401000977,-19.47052,20.5224609,-0.107995605,0.539850643,-0.0142272949,0.464539363,-0.81546065,0.663491671,0.0146118164,-0.746503475,-0.0937133789,-0.681958797,0.0518616642,-0.125312451
6,121530,1.71650391,5.54300324,0.263095093,7.34890839,33.7987352,-31.7758761,-0.183911133,-0.80729157,1.40998535,-1.2542978,-19.4100174,20.3758057,1.84295654,4.94110107,0.280151367,6.83624268,34.7167969,-32.494812,-0.197753906,0.0109863281,1.50238037,-0.521850586,-19.4677734,20.4592896,-0.126452637,0.601902166,-0.0170562744,0.512665715,-0.918061697,0.718935913,0.0138427734,-0.818277898,-0.0923950195,-0.73244721,0.0577560154,-0.0834838048
7,141772,1.69804688,5.66822615,0.260266113,7.45471297,33.6303127,-31.6325988,-0.181933594,-0.983436111,1.39482422,-1.42563582,-19.4013773,20.3544631,1.84020996,5.01800537,0.280151367,6.92962646,34.6508789,-32.4563599,-0.200500488,-0.120849609,1.49963379,-0.656433105,-19.4677734,20.456543,-0.142163086,0.650220779,-0.0198852539,0.525086501,-1.0205662,0.823761017,0.0185668945,-0.862586501,-0.10480957,-0.769202712,0.0663961842,-0.102079844
8,161917,1.67958984,5.79344906,0.257437134,7.56051754,33.4619854,-31.4893785,-0.179956055,-1.15958065,1.37966309,-1.59697384,-19.3927378,20.3331206,1.83746338,5.11138916,0.280151367,7.03674316,34.5849609,-32.4069214,-0.200500488,-0.252685547,1.4831543,-0.782775879,-19.4815063,20.4125977,-0.157873535,0.682059899,-0.0227142334,0.523774377,-1.12297552,0.917542923,0.0205444336,-0.906895104,-0.103491211,-0.814197961,0.088768499,-0.0794770366
9,182174,1.66113281,5.91867197,0.254608154,7.66632212,33.2937519,-31.3462142,-0.177978516,-1.33572519,1.36450195,-1.76831186,-19.3840992,20.3117782,1.82922363,5.1965332,0.280151367,7.11639404,34.5410156,-32.3822021,-0.200500488,-0.39276123,1.47216797,-0.903625488,-19.4650269,20.5059814,-0.16809082,0.722138766,-0.0255432129,0.549928073,-1.24726368,1.03598794,0.0225219727,-0.942963962,-0.107666016,-0.864686374,0.0809276476,-0.194203216
10,202329,1.64267578,6.04389488,0.251779175,7.77212669,33.1256109,-31.2031053,-0.176000977,-1.51186973,1.34934082,-1.93964988,-19.3754613,20.290436,1.82373047,5.2734375,0.280151367,7.22351074,34.453125,-32.3135376,-0.200500488,-0.552062988,1.4666748,-1.09313965,-19.4650269,20.423584,-0.181054688,0.770457379,-0.0283721924,0.548615949,-1.32751406,1.11043225,0.0244995117,-0.959806744,-0.117333984,-0.846510236,0.0895655249,-0.133148033
11,222536,1.62421875,6.16911779,0.248950195,7.87793127,32.9575611,-31.0600511,-0.174023438,-1.68801427,1.33417969,-2.11098791,-19.3668242,20.2690938,1.82373047,5.37506104,0.280151367,7.31964111,34.4311523,-32.1954346,-0.200500488,-0.763549805,1.45843506,-1.29638672,-19.4650269,20.4208374,-0.199511719,0.794056754,-0.0312011719,0.558290152,-1.47359126,1.13538342,0.0264770508,-0.924464469,-0.124255371,-0.814601187,0.0982026391,-0.151743618
12,242677,1.60576172,6.2943407,0.246121216,7.98373584,32.789601,-30.9170509,-0.172045898,-1.86415881,1.31901855,-2.28232593,-19.3581879,20.2477517,1.82098389,5.48217773,0.280151367,7.41027832,34.3652344,-32.159729,-0.20324707,-1.04095459,1.44195557,-1.56005859,-19.4622803,20.4263306,-0.215222168,0.812162964,-0.0340301514,0.57345752,-1.57563334,1.24267813,0.0312011719,-0.823204224,-0.122937012,-0.722267335,0.104092408,-0.178578841
