frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,75,-5.35665894,16.3912212,-17.6633789,22.8708751,38.0070667,-17.8327397,-11.7955261,-8.77769581,-4.38049622,-5.74588123,18.9007205,22.3355988,-5.4107666,16.44104,-17.8417969,22.986145,38.3560181,-17.9763794,-11.9146729,-8.75061035,-4.42474365,-5.68817139,19.0475464,22.6318359,0.054107666,-0.0498188414,0.178417969,-0.115269891,-0.348951371,0.143639693,0.119146729,-0.0270854555,0.0442474365,-0.0577098452,-0.146825839,-0.296237151
1,20404,-5.30255127,16.3414024,-17.4849609,22.7556052,37.6587157,-17.6893582,-11.6763794,-8.80478126,-4.33624878,-5.80359108,18.7538974,22.0401278,-5.4107666,16.4382935,-17.8088379,22.9833984,38.3203125,-17.9434204,-11.9119263,-8.75061035,-4.42199707,-5.68817139,19.0475464,22.565918,0.108215332,-0.0968911007,0.323876953,-0.2277932,-0.661596787,0.254062161,0.235546875,-0.054170911,0.085748291,-0.11541969,-0.293649027,-0.525790194
2,40776,-5.2484436,16.2915835,-17.306543,22.6403353,37.3109499,-17.5462341,-11.5572327,-8.83186672,-4.29200134,-5.86130092,18.6070784,21.7454081,-5.4107666,16.4190674,-17.7539062,22.9394531,38.2324219,-17.9241943,-11.8927002,-8.7588501,-4.42199707,-5.70739746,19.0255737,22.5439453,0.162322998,-0.127483868,0.447363281,-0.299117779,-0.921471968,0.377960267,0.335467529,-0.0730166204,0.129995728,-0.153903461,-0.41849533,-0.798537178
3,61071,-5.19433594,16.2417647,-17.128125,22.5250655,36.9637544,-17.4033662,-11.4380859,-8.85895217,-4.24775391,-5.91901077,18.4602653,21.4514255,-5.4107666,16.3916016,-17.6467896,22.9174805,38.1665039,-17.9077148,-11.8652344,-8.76983643,-4.40826416,-5.71838379,18.9871216,22.4560547,0.216430664,-0.149836889,0.518664551,-0.392415014,-1.20274955,0.504348651,0.427148438,-0.0891157478,0.160510254,-0.200626978,-0.52685633,-1.00462915
4,81425,-5.14022827,16.1919458,-16.949707,22.4097956,36.6171144,-17.2607536,-11.3189392,-8.88603763,-4.20350647,-5.97672061,18.3134595,21.158166,-5.4107666,16.355896,-17.5286865,22.8790283,38.0566406,-17.8637695,-11.8157959,-8.78082275,-4.38903809,-5.75683594,18.9651489,22.3901367,0.27053833,-0.163950164,0.578979492,-0.469232757,-1.4395262,0.603015882,0.496856689,-0.105214875,0.185531616,-0.219884675,-0.65168943,-1.23197073
5,101754,-5.08612061,16.142127,-16.7712891,22.2945257,36.2710157,-17.1183955,-11.1997925,-8.91312308,-4.15925903,-6.03443046,18.1666627,20.8656158,-5.41351318,16.3256836,-17.3803711,22.8405762,37.9385376,-17.8115845,-11.7718506,-8.80554199,-4.36431885,-5.80627441,18.9431763,22.28302,0.327392578,-0.183556603,0.609082031,-0.546050499,-1.66752185,0.693189003,0.572058105,-0.107581092,0.205059814,-0.228156044,-0.776513553,-1.41740418
6,122055,-5.03201294,16.0923081,-16.5928711,22.1792558,35.9254442,-16.9762907,-11.0806458,-8.94020854,-4.1150116,-6.0921403,18.0198765,20.5737618,-5.4107666,16.3037109,-17.2650146,22.8103638,37.7874756,-17.7484131,-11.7279053,-8.83850098,-4.3258667,-5.84197998,18.9321899,22.2116089,0.378753662,-0.211402788,0.672143555,-0.631107988,-1.86203137,0.772122403,0.647259521,-0.101707564,0.210855103,-0.250160322,-0.912313445,-1.63784713
7,142407,-4.97790527,16.0424893,-16.4144531,22.0639859,35.580386,-16.8344383,-10.961499,-8.967294,-4.07076416,-6.14985015,17.8731024,20.2825907,-5.4107666,16.2762451,-17.1386719,22.7719116,37.7050781,-17.644043,-11.6949463,-8.87969971,-4.29016113,-5.88592529,18.8470459,22.1676636,0.432861328,-0.233755809,0.72421875,-0.707925731,-2.12469213,0.809604649,0.733447266,-0.0875942886,0.219396973,-0.263924855,-0.973943475,-1.88507286
8,162704,-4.92379761,15.9926705,-16.2360352,21.948716,35.2358275,-16.6928374,-10.8423523,-8.99437945,-4.02651672,-6.20755999,17.7263421,19.99209,-5.40802002,16.2597656,-17.0288086,22.7197266,37.5732422,-17.5286865,-11.6152954,-8.91815186,-4.24621582,-5.93261719,18.7701416,22.2610474,0.484222412,-0.267095158,0.792773437,-0.771010563,-2.33741472,0.835849116,0.772943115,-0.0762275957,0.219699097,-0.274942806,-1.04379952,-2.26895738
9,183008,-4.86968994,15.9428516,-16.0576172,21.8334461,34.8917553,-16.551487,-10.7232056,-9.02146491,-3.98226929,-6.26526984,17.5795971,19.7022471,-5.38604736,16.2350464,-16.9299316,22.684021,37.5265503,-17.4655151,-11.5136719,-8.95385742,-4.21600342,-5.98754883,18.6685181,21.8710327,0.516357422,-0.292194761,0.872314453,-0.850574888,-2.63479501,0.914028162,0.790466309,-0.0676074848,0.233734131,-0.27772101,-1.088921,-2.16878558
10,203327,-4.81558228,15.8930328,-15.8791992,21.7181762,34.5481563,-16.4103861,-10.6040588,-9.04855036,-3.93802185,-6.32297968,17.432869,19.41305,-5.35583496,16.2020874,-16.7953491,22.6345825,37.4633789,-17.3776245,-11.4175415,-8.98406982,-4.14733887,-6.0534668,18.5202026,21.6842651,0.540252686,-0.309054618,0.916149902,-0.916406303,-2.91522261,0.967238461,0.813482666,-0.064480538,0.209317017,-0.269512887,-1.08733368,-2.27121513
11,223603,-4.76147461,15.8432139,-15.7007813,21.6029063,34.2050176,-16.2695337,-10.4849121,-9.07563582,-3.89377441,-6.38068953,17.2861594,19.1244867,-5.30639648,16.1636353,-16.6195679,22.6016235,37.265625,-17.3336792,-11.2911987,-9.01702881,-4.09240723,-6.11663818,18.4075928,21.3134766,0.544921875,-0.320421311,0.918786621,-0.99871721,-3.06060739,1.06414554,0.806286621,-0.0586070091,0.198632812,-0.264051345,-1.12143341,-2.18898984
