frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,94,0.886431885,2.44778761,-0.410586548,3.74752516,34.7239891,-35.1486082,-2.98830872,1.13872668,0.883712769,1.3780089,-19.8670374,20.4875513,0.898132324,2.29888916,-0.414733887,3.61175537,34.8925781,-35.3182983,-3.01849365,1.32385254,0.89263916,1.56555176,-19.8797607,20.508728,-0.0117004395,0.148898447,0.00414733887,0.135769785,-0.16858906,0.16969011,0.0301849365,-0.185125864,-0.0089263916,-0.187542856,0.0127232956,-0.0211767299
1,20595,0.877478027,2.59668605,-0.406439209,3.88329494,34.5555111,-34.9790113,-2.95812378,0.953600811,0.874786377,1.19046605,-19.8543146,20.4663746,0.895385742,2.31811523,-0.414733887,3.61175537,34.8733521,-35.307312,-3.01849365,1.30737305,0.89263916,1.54907227,-19.8660278,20.5032349,-0.0179077148,0.27857082,0.00829467773,0.27153957,-0.317840918,0.328300683,0.060369873,-0.353772236,-0.0178527832,-0.35860622,0.0117132129,-0.0368602218
2,40933,0.86852417,2.7455845,-0.40229187,4.01906473,34.3871427,-34.8095046,-2.92793884,0.768474947,0.865859985,1.00292319,-19.8415923,20.4451981,0.895385742,2.34558105,-0.414733887,3.63922119,34.8706055,-35.2880859,-3.02124023,1.26617432,0.889892578,1.50512695,-19.8632812,20.5032349,-0.0268615723,0.400003446,0.0124420166,0.379843534,-0.483462736,0.478581374,0.0933013916,-0.497699369,-0.0240325928,-0.502203764,0.0216889848,-0.0580367925
3,61319,0.859570312,2.89448295,-0.398144531,4.15483451,34.2188825,-34.6400865,-2.89775391,0.583349083,0.856933594,0.815380333,-19.8288704,20.4240216,0.895385742,2.39227295,-0.414733887,3.67492676,34.8046875,-35.2661133,-3.01849365,1.20574951,0.87890625,1.4364624,-19.8358154,20.5032349,-0.0358154297,0.502209999,0.0165893555,0.479907753,-0.585805039,0.626026748,0.120739746,-0.622400428,-0.0219726563,-0.621082069,0.00694504541,-0.0792132801
4,81852,0.850616455,3.04338139,-0.393997192,4.2906043,34.0507289,-34.4707558,-2.86756897,0.398223219,0.848007202,0.627837477,-19.816149,20.4028452,0.898132324,2.45819092,-0.414733887,3.73260498,34.7607422,-35.2194214,-3.01574707,1.11785889,0.873413086,1.34033203,-19.8605347,20.5032349,-0.0475158691,0.585190477,0.0207366943,0.557999315,-0.710013258,0.748665538,0.148178101,-0.719635667,-0.0254058838,-0.712494554,0.044385692,-0.100389686
5,102157,0.841662598,3.19227984,-0.389849854,4.42637408,33.8826808,-34.3015111,-2.83738403,0.213097355,0.839080811,0.440294621,-19.803428,20.3816688,0.898132324,2.54333496,-0.414733887,3.79302979,34.7167969,-35.2194214,-3.01300049,0.999755859,0.86517334,1.22497559,-19.8577881,20.5032349,-0.0564697266,0.648944881,0.0248840332,0.633344295,-0.834116115,0.917910254,0.175616455,-0.786658504,-0.0260925293,-0.784680965,0.0543600461,-0.121566013
6,122601,0.83270874,3.34117829,-0.385702515,4.56214386,33.7147366,-34.132351,-2.8071991,0.0279714916,0.830154419,0.252751765,-19.7907076,20.3604926,0.898132324,2.6449585,-0.414733887,3.87268066,34.6673584,-35.1754761,-3.00201416,0.85144043,0.862426758,1.08764648,-19.8577881,20.5004883,-0.065423584,0.696219793,0.0290313721,0.689463201,-0.952621813,1.04312506,0.194815063,-0.823468938,-0.0322723389,-0.834894719,0.0670805105,-0.139995681
7,142865,0.823754883,3.49007674,-0.381555176,4.69791365,33.5468951,-33.9632742,-2.77701416,-0.157154372,0.821228027,0.0652089089,-19.7779876,20.3393164,0.898132324,2.74383545,-0.411987305,3.94683838,34.5849609,-35.1205444,-2.99377441,0.73059082,0.85144043,0.969543457,-19.8577881,20.5004883,-0.0743774414,0.746241286,0.0304321289,0.751075271,-1.03806588,1.15727028,0.216760254,-0.887745193,-0.0302124023,-0.904334548,0.0798005036,-0.161171856
8,163194,0.814801025,3.63897518,-0.377407837,4.83368343,33.3791548,-33.7942792,-2.74682922,-0.342280236,0.812301636,-0.122333947,-19.7652681,20.3181403,0.895385742,2.85919189,-0.411987305,4.04296875,34.519043,-35.1095581,-2.98278809,0.560302734,0.845947266,0.793762207,-19.8577881,20.5004883,-0.0805847168,0.779783288,0.0345794678,0.790714685,-1.13988815,1.31527892,0.235958862,-0.902582971,-0.0336456299,-0.916096154,0.0925200257,-0.182347957
9,183660,0.805847168,3.78787363,-0.373260498,4.96945322,33.2115145,-33.6253648,-2.71664429,-0.5274061,0.803375244,-0.309876803,-19.752549,20.2969643,0.895385742,2.99102783,-0.411987305,4.1583252,34.453125,-35.0656128,-2.96905518,0.414733887,0.843200684,0.631713867,-19.8550415,20.5004883,-0.0895385742,0.796845798,0.0387268066,0.811128024,-1.24161045,1.440248,0.252410889,-0.942139987,-0.0398254395,-0.941590671,0.102492495,-0.203523987
10,204036,0.796893311,3.93677208,-0.369113159,5.105223,33.0439729,-33.4565296,-2.68645935,-0.712531964,0.794448853,-0.497419659,-19.7398304,20.2757883,0.898132324,3.13110352,-0.411987305,4.31762695,34.3762207,-34.9887085,-2.96356201,0.247192383,0.840454102,0.444946289,-19.8413086,20.5004883,-0.101239014,0.805668561,0.0428741455,0.787596051,-1.33224778,1.53217885,0.277102661,-0.959724347,-0.046005249,-0.942365949,0.101478167,-0.224699947
11,224368,0.787939453,4.08567052,-0.36496582,5.24099279,32.8765286,-33.2877724,-2.65627441,-0.897657828,0.785522461,-0.684962516,-19.7271123,20.2546124,0.895385742,3.27941895,-0.411987305,4.47967529,34.2993164,-34.9090576,-2.95532227,0.0219726562,0.83770752,0.195007324,-19.8413086,20.5004883,-0.107446289,0.806251578,0.0470214844,0.761317496,-1.42278777,1.62128518,0.299047852,-0.919630484,-0.0521850586,-0.87996984,0.114196279,-0.24587584
12,244709,0.778985596,4.23456897,-0.360818481,5.37676257,32.7091804,-33.1190919,-2.62608948,-1.08278369,0.776596069,-0.872505372,-19.7143947,20.2334366,0.895385742,3.44970703,-0.411987305,4.66094971,34.2333984,-34.8321533,-2.95257568,-0.222473145,0.832214355,-0.115356445,-19.8330688,20.4949951,-0.116400146,0.784861939,0.0511688232,0.715812867,-1.52421806,1.71306147,0.326486206,-0.860310547,-0.0556182861,-0.757148926,0.118674176,-0.261558504
13,265484,0.770031738,4.38346742,-0.356671143,5.51253236,32.5419269,-32.9504866,-2.59590454,-1.26790956,0.767669678,-1.06004823,-19.7016775,20.2122608,0.895385742,3.64746094,-0.409240723,4.85595703,34.1894531,-34.7497559,-2.93884277,-0.433959961,0.829467773,-0.293884277,-19.8440552,20.4949951,-0.125354004,0.73600648,0.0525695801,0.656575327,-1.64752625,1.79926925,0.342938232,-0.833949595,-0.0617980957,-0.76616395,0.142377678,-0.282734268
14,285893,0.761077881,4.53236586,-0.352523804,5.64830214,32.3747668,-32.7819554,-2.5657196,-1.45303542,0.758743286,-1.24759108,-19.6889608,20.1910851,0.895385742,3.84246826,-0.409240723,5.01800537,34.0988159,-34.6261597,-2.92785645,-0.585021973,0.826721191,-0.433959961,-19.838562,20.4785156,-0.134307861,0.689897603,0.0567169189,0.630296772,-1.72404908,1.84420424,0.362136841,-0.868013447,-0.0679779053,-0.813631123,0.149601219,-0.287430478
15,306412,0.752124023,4.68126431,-0.348376465,5.78407193,32.207699,-32.613497,-2.53553467,-1.63816128,0.749816895,-1.43513394,-19.6762446,20.1699095,0.895385742,3.99627686,-0.409240723,5.17456055,34.0356445,-34.5602417,-2.9196167,-0.722351074,0.818481445,-0.560302734,-19.838562,20.4812622,-0.143261719,0.684987456,0.0608642578,0.609511381,-1.82794553,1.94674467,0.384082031,-0.91581021,-0.0686645508,-0.874831206,0.162317457,-0.311352704
