frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,7695827,2.93984532,-0.902763903,-0.207978413,-1.97575867,3.31310415,0.62272495,-3.03767538,-1.77912259,5.41473007,3.09353042,-3.10904026,-4.85083675,0.042,-0.042,-0.0249574095,-0.042,0.042,0.042,-0.042,-0.042,0.042,0.042,-0.042,-0.042,0.042,0.0249574095,0.042,-0.042,-0.042,-0.042,-0.042,-0.042,0.042,-0.042,0.042,-0.042
1,7709493,2.29355383,-0.553815782,0.373574823,-0.617489457,3.34477353,-1.2127248,-3.06379914,-3.09230089,0.849195719,0.0571108013,0.143175691,-2.45720124,0.042,-0.042,0.042,-0.042,0.042,-0.042,-0.042,-0.042,0.042,0.00685329616,0.017181083,-0.042,0.042,-0.042,0.042,-0.042,0.017181083,-0.042,-0.042,-0.042,-0.042,-0.042,0.00685329616,-0.042
2,7727323,1.34403276,-0.86806494,-0.279093087,-0.454539359,2.79377961,-1.11024129,-3.0268743,-4.03709936,-0.599853694,-0.604532063,0.335175067,-1.5362817,0.042,-0.042,-0.0334911704,-0.042,0.042,-0.042,-0.042,-0.042,-0.042,-0.042,0.0402210081,-0.042,0.042,0.0334911704,0.042,-0.042,0.0402210081,0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
3,7747118,0.333256871,-1.15856361,-0.202622905,-0.333692074,2.02070975,-0.834754884,-2.95936394,-4.70201969,-0.426044881,-0.843534648,0.391587526,-1.00357091,0.0399908245,-0.042,-0.0243147486,-0.0400430489,0.042,-0.042,-0.042,-0.042,-0.042,-0.042,0.042,-0.042,0.0399908245,0.0243147486,0.042,-0.042,0.042,0.042,-0.042,-0.0400430489,-0.042,-0.042,-0.042,-0.042
4,7768079,-1.58837795,-1.35123217,-0.231414586,-0.300973654,1.09839225,-0.109803081,-3.01561689,-4.90541506,-0.204306275,-0.971097827,0.101988003,-1.15927303,-0.042,-0.042,-0.0277697504,-0.0361168385,0.042,-0.0131763697,-0.042,-0.042,-0.024516753,-0.042,0.0122385603,-0.042,-0.042,0.0277697504,0.042,-0.042,0.0122385603,0.024516753,-0.042,-0.0361168385,-0.0131763697,-0.042,-0.042,-0.042
5,7783111,-3.67666578,-1.47682679,-0.370597333,-0.475219309,0.226029724,0.371995538,-3.28157735,-5.26498032,-0.162565604,-1.11773777,-0.279799998,-1.64324188,-0.042,-0.042,-0.042,-0.042,0.0271235669,0.042,-0.042,-0.042,-0.0195078725,-0.042,-0.0335759997,-0.042,-0.042,0.042,0.0271235669,-0.042,-0.0335759997,0.0195078725,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
6,7801489,-4.172647,-1.56865358,-0.485846668,-0.583205462,-0.152047694,0.600652874,-3.31173491,-5.47446489,0.264174908,-0.973706901,-0.340904713,-1.93769896,-0.042,-0.042,-0.042,-0.042,-0.0182457232,0.042,-0.042,-0.042,0.031700989,-0.042,-0.0409085655,-0.042,-0.042,0.042,-0.0182457232,-0.042,-0.0409085655,-0.031700989,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
7,7820888,-4.08828688,-1.66186249,-0.440185338,-0.749532104,-0.177770779,0.429924995,-3.27728176,-5.95680761,0.267466098,-1.13747823,-0.364517748,-1.94321954,-0.042,-0.042,-0.042,-0.042,-0.0213324934,0.042,-0.042,-0.042,0.0320959318,-0.042,-0.042,-0.042,-0.042,0.042,-0.0213324934,-0.042,-0.042,-0.0320959318,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
8,7844093,-3.88128781,-1.81251466,-0.25934422,-0.950306296,-0.0847392231,0.114438057,-3.25238013,-6.44472504,0.279983342,-1.26305008,-0.377371281,-1.88955104,-0.042,-0.042,-0.0311213064,-0.042,-0.0101687068,0.0137325668,-0.042,-0.042,0.033598001,-0.042,-0.042,-0.042,-0.042,0.0311213064,-0.0101687068,-0.042,-0.042,-0.033598001,-0.042,-0.042,0.0137325668,-0.042,-0.042,-0.042
9,7863058,-3.59731698,-1.99600375,-0.128565282,-1.03363013,0.0624683127,-0.0927883238,-3.29762816,-6.8191433,0.320972025,-1.31368017,-0.323735088,-1.8957628,-0.042,-0.042,-0.0154278338,-0.042,0.00749619752,-0.0111345989,-0.042,-0.042,0.038516643,-0.042,-0.0388482106,-0.042,-0.042,0.0154278338,0.00749619752,-0.042,-0.0388482106,-0.038516643,-0.042,-0.042,-0.0111345989,-0.042,-0.042,-0.042
10,7881906,-3.35916162,-2.20448756,-0.0375435725,-1.13460541,0.146744967,-0.212982401,-3.36422038,-7.08245897,0.351639032,-1.38540196,-0.3016074,-1.90146637,-0.042,-0.042,-0.0045052287,-0.042,0.017609396,-0.0255578882,-0.042,-0.042,0.042,-0.042,-0.036192888,-0.042,-0.042,0.0045052287,0.017609396,-0.042,-0.036192888,-0.042,-0.042,-0.042,-0.0255578882,-0.042,-0.042,-0.042
11,7900852,-3.15802431,-2.34820199,0.0482145101,-1.32591319,0.125653505,-0.278946191,-3.44118977,-7.29707336,0.360841244,-1.52439618,-0.276888788,-1.89772785,-0.042,-0.042,0.00578574121,-0.042,0.0150784206,-0.0334735429,-0.042,-0.042,0.042,-0.042,-0.0332266545,-0.042,-0.042,-0.00578574121,0.0150784206,-0.042,-0.0332266545,-0.042,-0.042,-0.042,-0.0334735429,-0.042,-0.042,-0.042
12,7921906,-2.92750597,-2.4139688,0.142148405,-1.59502733,0.0222416073,-0.304652005,-3.54709888,-7.47972775,0.387510121,-1.7759198,-0.232206792,-1.84296882,-0.042,-0.042,0.0170578086,-0.042,0.00266899288,-0.0365582407,-0.042,-0.042,0.042,-0.042,-0.027864815,-0.042,-0.042,-0.0170578086,0.00266899288,-0.042,-0.027864815,-0.042,-0.042,-0.042,-0.0365582407,-0.042,-0.042,-0.042
13,7941982,-2.67221236,-2.46978951,0.305262953,-1.90838349,-0.0879890174,-0.33662039,-3.70924187,-7.61941481,0.474164844,-2.11550593,-0.192118943,-1.71751189,-0.042,-0.042,0.0366315544,-0.042,-0.0105586821,-0.0403944468,-0.042,-0.042,0.042,-0.042,-0.0230542731,-0.042,-0.042,-0.0366315544,-0.0105586821,-0.042,-0.0230542731,-0.042,-0.042,-0.042,-0.0403944468,-0.042,-0.042,-0.042
14,7960844,-2.39307356,-2.59895658,0.553498268,-2.21205902,-0.137874663,-0.415141165,-3.9344461,-7.70286465,0.607145309,-2.46546364,-0.17043227,-1.58893895,-0.042,-0.042,0.042,-0.042,-0.0165449595,-0.042,-0.042,-0.042,0.042,-0.042,-0.0204518723,-0.042,-0.042,-0.042,-0.0165449595,-0.042,-0.0204518723,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
15,7982461,-2.08376908,-2.79750633,0.764667034,-2.38262939,-0.133425266,-0.500390112,-4.18919039,-7.72677183,0.71208322,-2.65343189,-0.142269552,-1.53414178,-0.042,-0.042,0.042,-0.042,-0.0160110319,-0.042,-0.042,-0.042,0.042,-0.042,-0.0170723462,-0.042,-0.042,-0.042,-0.0160110319,-0.042,-0.0170723462,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
16,8003107,-1.75978839,-3.00148463,0.869601846,-2.43256187,-0.116058066,-0.551539421,-4.42520428,-7.71696997,0.725484431,-2.66597033,-0.107560866,-1.54167187,-0.042,-0.042,0.042,-0.042,-0.013926968,-0.042,-0.042,-0.042,0.042,-0.042,-0.0129073039,-0.042,-0.042,-0.042,-0.013926968,-0.042,-0.0129073039,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
17,8023692,-1.40592957,-3.10508132,0.79244709,-2.3645463,-0.0779902041,-0.550825357,-4.60961008,-7.69879341,0.607920647,-2.54038215,-0.0554905012,-1.60062456,-0.042,-0.042,0.042,-0.042,-0.00935882449,-0.042,-0.042,-0.042,0.042,-0.042,-0.00665886015,-0.042,-0.042,-0.042,-0.00935882449,-0.042,-0.00665886015,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
18,8040837,-1.15224671,-2.99375296,0.476338953,-2.30272293,0.0492961332,-0.527830839,-4.7550745,-7.70512104,0.301222652,-2.33542347,-0.0216094181,-1.64504719,-0.042,-0.042,0.042,-0.042,0.00591553599,-0.042,-0.042,-0.042,0.0361467183,-0.042,-0.00259313017,-0.042,-0.042,-0.042,0.00591553599,-0.042,-0.00259313017,-0.0361467183,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
19,8060586,-1.01076388,-2.66624904,0.041869089,-2.31497383,0.25714618,-0.493396193,-4.90952015,-7.74789238,-0.117823429,-2.1379354,-0.0291868523,-1.6244297,-0.042,-0.042,0.00502429068,-0.042,0.0308575416,-0.042,-0.042,-0.042,-0.0141388115,-0.042,-0.00350242227,-0.042,-0.042,-0.00502429068,0.0308575416,-0.042,-0.00350242227,0.0141388115,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
20,8081043,-0.895264447,-2.29258609,-0.185725555,-2.35003138,0.41494742,-0.437562287,-5.14713621,-7.81697798,-0.39533639,-2.06896496,-0.07349094,-1.49357426,-0.042,-0.042,-0.0222870666,-0.042,0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.0088189128,-0.042,-0.042,0.0222870666,0.042,-0.042,-0.0088189128,0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
