frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8718672,0.020231666,-0.171250179,0.00137397158,-0.00232261117,0.0508872382,0.0636863112,-0.148673669,-0.059994109,-0.308818728,-0.0481554978,-0.0196172912,0.133315295,0.00161853328,-0.0137000144,-0.299587809,-0.300696783,0.00407097906,0.0050949049,0.3,0.3,-0.246322809,-0.207223325,-0.00156938329,0.0106652236,0.00161853328,0.299587809,0.00407097906,0.3,0.396464334,-0.39747953,0.0137000144,-0.300696783,0.0050949049,-0.3,-0.346844862,0.322070948
1,8723000,0.0419603959,-0.261410832,-0.0155765451,0.0163367894,0.0664587021,0.0993499905,-0.229074925,-0.101151362,-0.595070481,-0.0775256529,-0.0515561365,0.157072946,0.00335683167,-0.0209128666,-0.304672964,-0.295098963,0.00531669617,0.00794799924,0.3,0.3,-0.289260572,-0.211628848,-0.00412449092,0.0125658357,0.00335683167,0.304672964,0.00531669617,0.3,0.467799036,-0.463918607,0.0209128666,-0.295098963,0.00794799924,-0.3,-0.355759044,0.32725346
2,8743702,0.0643942952,-0.305961967,-0.0201284718,0.0318510346,0.0694780424,0.112465017,-0.270061642,-0.111857146,-0.845457971,-0.0980899781,-0.0922397226,0.133323222,0.00515154362,-0.0244769573,-0.306038542,-0.29044469,0.00555824339,0.00899720132,0.3,0.3,-0.326818696,-0.214713497,-0.00737917781,0.0106658578,0.00515154362,0.306038542,0.00555824339,0.3,0.531624595,-0.521331745,0.0244769573,-0.29044469,0.00899720132,-0.3,-0.358824471,0.334032757
3,8766497,0.0735772327,-0.334054232,-0.0224662293,0.0410970822,0.067862168,0.115290567,-0.293578207,-0.110675111,-1.06810558,-0.113327473,-0.116918825,0.0959077626,0.00588617861,-0.0267243385,-0.306739869,-0.287670875,0.00542897344,0.00922324538,0.3,0.3,-0.360215837,-0.216999121,-0.00935350597,0.00767262101,0.00588617861,0.306739869,0.00542897344,0.3,0.587990948,-0.573607965,0.0267243385,-0.287670875,0.00922324538,-0.3,-0.35954353,0.34060197
4,8783821,0.0598346964,-0.352587879,-0.0270865001,0.0537588373,0.0623678565,0.115764804,-0.309444875,-0.106200248,-1.26009381,-0.131007388,-0.119334586,0.0594978333,0.00478677571,-0.0282070303,-0.30812595,-0.283872349,0.00498942852,0.00926118433,0.3,0.3,-0.38,-0.219651108,-0.00954676688,0.00475982666,0.00478677571,0.30812595,0.00498942852,0.3,0.620713928,-0.605710443,0.0282070303,-0.283872349,0.00926118433,-0.3,-0.36093404,0.347679042
5,8804504,0.0316358879,-0.370636821,-0.0309364833,0.0648063421,0.0536325239,0.123028822,-0.312433034,-0.103274234,-1.4103514,-0.15164566,-0.106895626,0.0301529244,0.00253087103,-0.0296509457,-0.309280945,-0.280558097,0.00429060191,0.00984230578,0.3,0.3,-0.38,-0.222746849,-0.00855165005,0.00241223395,0.00253087103,0.309280945,0.00429060191,0.3,0.619736811,-0.606664106,0.0296509457,-0.280558097,0.00984230578,-0.3,-0.363593946,0.354913791
6,8824917,-0.0155283194,-0.388871193,-0.0359224789,0.0767525285,0.0485712998,0.133863837,-0.302166164,-0.101357371,-1.52474749,-0.166049749,-0.0882699192,0.00588623248,-0.00124226555,-0.0311096954,-0.310776744,-0.276974241,0.00388570398,0.0107091069,0.3,0.3,-0.38,-0.224907462,-0.00706159353,0.000470898598,-0.00124226555,0.310776744,0.00388570398,0.3,0.618275018,-0.608093329,0.0311096954,-0.276974241,0.0107091069,-0.3,-0.365157916,0.360259531
7,8846157,-0.0724724978,-0.405026138,-0.0410172194,0.0931315944,0.0434972718,0.146225721,-0.291835159,-0.099830009,-1.60601318,-0.172416851,-0.0774985477,-0.015116116,-0.00579779983,-0.032402091,-0.312305166,-0.272060522,0.00347978175,0.0116980577,0.3,0.3,-0.38,-0.225862528,-0.00619988382,-0.00120928928,-0.00579779983,0.312305166,0.00347978175,0.3,0.61743037,-0.608920536,0.032402091,-0.272060522,0.0116980577,-0.3,-0.365048573,0.363426295
8,8862758,-0.108736411,-0.415806413,-0.0450594686,0.104977041,0.0346553326,0.15596807,-0.289771676,-0.110351652,-1.67234635,-0.16723229,-0.105820127,-0.0339355879,-0.00869891286,-0.033264513,-0.313517841,-0.268506888,0.00277242661,0.0124774456,0.3,0.3,-0.38,-0.225084843,-0.00846561015,-0.00271484703,-0.00869891286,0.313517841,0.00277242661,0.3,0.61965236,-0.606746593,0.033264513,-0.268506888,0.0124774456,-0.3,-0.362334855,0.363657505
9,8885531,-0.130850196,-0.422510833,-0.0486209691,0.110660382,0.0262943897,0.162756667,-0.290386975,-0.125461265,-1.73694098,-0.156269014,-0.137993634,-0.0536479317,-0.0104680157,-0.0338008666,-0.314586291,-0.266801886,0.00210355118,0.0130205333,0.3,0.3,-0.38,-0.223440352,-0.0110394907,-0.00429183453,-0.0104680157,0.314586291,0.00210355118,0.3,0.622180966,-0.604281142,0.0338008666,-0.266801886,0.0130205333,-0.3,-0.358162716,0.36257698
