frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8629379,0.102449372,-0.0758158416,-0.0254473332,-0.054832451,0.0179621764,-0.11841087,-0.183370471,0.0120727988,-0.247543857,-0.157455057,0.0359923393,0.465436846,0.00819594979,-0.00606526732,-0.2114513,-0.224674603,0.00143697411,-0.00947286963,0.2,0.205432759,-0.0995087713,-0.0814910114,0.00287938714,0.0372349477,0.00819594979,0.2114513,0.00143697411,0.2,0.0995087713,0.00287938714,0.00606526732,-0.224674603,-0.00947286963,-0.205432759,-0.0372349477,0.0814910114
1,8645026,0.171859682,-0.131569117,-0.035308782,0.00164793606,0.0709720179,-0.199514315,-0.253606796,0.0253557526,-0.374103993,-0.141235441,0.0210031774,0.747368336,0.0137487745,-0.0105255294,-0.215888952,-0.199258429,0.00567776144,-0.0159611452,0.2,0.211410089,-0.124820799,-0.0782470882,0.00168025419,0.0597894669,0.0137487745,0.215888952,0.00567776144,0.2,0.124820799,0.00168025419,0.0105255294,-0.199258429,-0.0159611452,-0.211410089,-0.0597894669,0.0782470882
2,8659462,0.222251505,-0.164784476,-0.0355166309,0.0390940681,0.125618771,-0.253286809,-0.279900789,0.0734005943,-0.427755088,-0.0864372477,0.0205712523,0.860500872,0.0177801204,-0.0131827581,-0.215982484,-0.182407669,0.0100495017,-0.0202629447,0.2,0.233030267,-0.135551018,-0.0672874495,0.00164570019,0.0688400698,0.0177801204,0.215982484,0.0100495017,0.2,0.135551018,0.00164570019,0.0131827581,-0.182407669,-0.0202629447,-0.233030267,-0.0688400698,0.0672874495
3,8683089,0.282788664,-0.174299002,-0.0579721592,0.065801695,0.155467957,-0.286440253,-0.292834908,0.095914863,-0.466707677,-0.0483104475,0.0174426772,0.84749645,0.0226230931,-0.0139439201,-0.226087472,-0.170389237,0.0124374366,-0.0229152203,0.2,0.243161688,-0.143341535,-0.0596620895,0.00139541417,0.067799716,0.0226230931,0.226087472,0.0124374366,0.2,0.143341535,0.00139541417,0.0139439201,-0.170389237,-0.0229152203,-0.243161688,-0.067799716,0.0596620895
4,8699971,0.323003769,-0.182344258,-0.0858331248,0.079617314,0.160519183,-0.30895561,-0.284047395,0.0839202031,-0.525000751,-0.0456885658,-0.00352817518,0.749367833,0.0258403015,-0.0145875406,-0.238624906,-0.164172209,0.0128415346,-0.0247164488,0.2,0.237764091,-0.15500015,-0.0591377132,-0.000282254014,0.0599494267,0.0258403015,0.238624906,0.0128415346,0.2,0.15500015,-0.000282254014,0.0145875406,-0.164172209,-0.0247164488,-0.237764091,-0.0599494267,0.0591377132
5,8726268,0.306035131,-0.196503192,-0.103317507,0.0941181928,0.159062818,-0.330022067,-0.264746666,0.031616047,-0.631897748,-0.0772541836,-0.0608972646,0.623037338,0.0244828105,-0.0157202554,-0.246492878,-0.157646813,0.0127250254,-0.0264017653,0.2,0.214227221,-0.17637955,-0.0654508367,-0.00487178117,0.0498429871,0.0244828105,0.246492878,0.0127250254,0.2,0.17637955,-0.00487178117,0.0157202554,-0.157646813,-0.0264017653,-0.214227221,-0.0498429871,0.0654508367
6,8743251,0.220788851,-0.221218392,-0.105942778,0.0771119967,0.155696273,-0.366472334,-0.195817798,-0.0480476208,-0.701126993,-0.130088866,-0.113759726,0.505297482,0.0176631081,-0.0176974714,-0.24767425,-0.165299601,0.0124557018,-0.0293177867,0.2,0.2,-0.190225399,-0.0760177732,-0.0091007781,0.0404237986,0.0176631081,0.24767425,0.0124557018,0.2,0.190225399,-0.0091007781,0.0176974714,-0.165299601,-0.0293177867,-0.2,-0.0404237986,0.0760177732
7,8760395,0.101380169,-0.256397069,-0.0762375668,0.024926912,0.14929004,-0.408017844,-0.086537756,-0.147825047,-0.692488194,-0.18975912,-0.155470267,0.397318661,0.00811041355,-0.0205117655,-0.234306905,-0.18878289,0.0119432032,-0.0326414275,0.2,0.2,-0.188497639,-0.0879518241,-0.0124376214,0.0317854929,0.00811041355,0.234306905,0.0119432032,0.2,0.188497639,-0.0124376214,0.0205117655,-0.18878289,-0.0326414275,-0.2,-0.0317854929,0.0879518241
8,8779745,0.018991394,-0.291667074,-0.0201814566,-0.0381578058,0.12554808,-0.431336135,0.0188994873,-0.238781944,-0.596708357,-0.230162144,-0.217914224,0.288754642,0.00151931152,-0.0233333659,-0.209081655,-0.217171013,0.0100438464,-0.0345068908,0.208504769,0.2,-0.169341671,-0.0960324287,-0.0174331379,0.0231003714,0.00151931152,0.209081655,0.0100438464,0.208504769,0.169341671,-0.0174331379,0.0233333659,-0.217171013,-0.0345068908,-0.2,-0.0231003714,0.0960324287
9,8800269,-0.0211867765,-0.286306918,0.0415670499,-0.0929396376,0.0942056924,-0.442508072,0.0901937038,-0.286665171,-0.46454221,-0.246485651,-0.269284219,0.231765851,-0.00169494212,-0.0229045534,-0.181294828,-0.241822837,0.00753645539,-0.0354006457,0.240587167,0.2,-0.142908442,-0.0992971301,-0.0215427375,0.0185412681,-0.00169494212,0.181294828,0.00753645539,0.240587167,0.142908442,-0.0215427375,0.0229045534,-0.241822837,-0.0354006457,-0.2,-0.0185412681,0.0992971301
