frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8663080,0.0441815443,0.0143879624,0.0602196865,-0.0231484231,-0.00143955974,-0.102669016,-0.200076789,-0.11167559,-0.118791975,-0.181589231,0.254070699,0.0237356573,0.00353452355,0.00115103699,-0.172901141,-0.21041679,-0.000115164779,-0.00821352124,0.2,0.2,-0.073758395,-0.0863178462,0.0203256559,0.00189885259,0.00353452355,0.172901141,-0.000115164779,0.2,0.073758395,0.0203256559,-0.00115103699,-0.21041679,-0.00821352124,-0.2,-0.00189885259,0.0863178462
1,8673859,0.0936123207,0.0042169583,0.0624873079,0.0129635502,0.0164673869,-0.136180177,-0.181645513,-0.101871528,-0.107536502,-0.177677989,0.332106948,0.0104893502,0.00748898566,0.000337356664,-0.171880711,-0.194166402,0.00131739095,-0.0108944142,0.2,0.2,-0.0715073004,-0.0855355978,0.0265685558,0.000839148015,0.00748898566,0.171880711,0.00131739095,0.2,0.0715073004,0.0265685558,-0.000337356664,-0.194166402,-0.0108944142,-0.2,-0.000839148015,0.0855355978
2,8696655,0.113086008,-0.00201167585,0.0470976606,0.0214205217,0.0283605605,-0.146312594,-0.162382975,-0.0839336962,-0.0964350104,-0.158376753,0.362203717,0.0014972412,0.0090468806,-0.000160934068,-0.178806053,-0.190360765,0.00226884484,-0.0117050076,0.2,0.2,-0.0692870021,-0.0816753507,0.0289762974,0.000119779296,0.0090468806,0.178806053,0.00226884484,0.2,0.0692870021,0.0289762974,0.000160934068,-0.190360765,-0.0117050076,-0.2,-0.000119779296,0.0816753507
3,8716493,0.108819135,-0.00480089942,0.0454611145,0.0206005275,0.0392953344,-0.147481382,-0.158177823,-0.0780262128,-0.0941077843,-0.157580197,0.373069108,-0.00659429142,0.00870553076,-0.000384071954,-0.179542498,-0.190729763,0.00314362675,-0.0117985106,0.2,0.2,-0.0688215569,-0.0815160394,0.0298455286,-0.000527543314,0.00870553076,0.179542498,0.00314362675,0.2,0.0688215569,0.0298455286,0.000384071954,-0.190729763,-0.0117985106,-0.2,0.000527543314,0.0815160394
4,8736436,0.100057669,-0.0145985931,0.0491204821,0.00858240761,0.0464922115,-0.142455757,-0.153610349,-0.0780855045,-0.096403338,-0.166624799,0.371098995,-0.0290162843,0.00800461352,-0.00116788745,-0.177895783,-0.196137917,0.00371937692,-0.0113964605,0.2,0.2,-0.0692806676,-0.0833249599,0.0296879196,-0.00232130274,0.00800461352,0.177895783,0.00371937692,0.2,0.0692806676,0.0296879196,0.00116788745,-0.196137917,-0.0113964605,-0.2,0.00232130274,0.0833249599
5,8755307,0.100844704,-0.0275759809,0.0558660328,0.00606094813,0.0540853068,-0.133469447,-0.155184448,-0.0712571442,-0.103760794,-0.165962279,0.346443981,-0.0704854578,0.00806757629,-0.00220607847,-0.174860285,-0.197272573,0.00432682455,-0.0106775558,0.2,0.2,-0.0707521588,-0.0831924558,0.0277155185,-0.00563883662,0.00806757629,0.174860285,0.00432682455,0.2,0.0707521588,0.0277155185,0.00220607847,-0.197272573,-0.0106775558,-0.2,0.00563883662,0.0831924558
6,8775530,0.0918595493,-0.0296737701,0.0523305796,0.0124458428,0.0569620058,-0.131895423,-0.147386625,-0.0704181045,-0.101979971,-0.167919502,0.339609295,-0.0913745686,0.00734876394,-0.00237390161,-0.176451239,-0.194399371,0.00455696046,-0.0105516338,0.2,0.2,-0.0703959942,-0.0835839003,0.0271687436,-0.00730996549,0.00734876394,0.176451239,0.00455696046,0.2,0.0703959942,0.0271687436,0.00237390161,-0.194399371,-0.0105516338,-0.2,0.00730996549,0.0835839003
7,8793801,0.0808807537,-0.0259713661,0.0493062362,0.0131885037,0.0539207309,-0.13537617,-0.142791957,-0.0740152374,-0.0996748284,-0.17288287,0.341485828,-0.094883576,0.0064704603,-0.00207770929,-0.177812194,-0.194065173,0.00431365848,-0.0108300936,0.2,0.2,-0.0699349657,-0.084576574,0.0273188663,-0.00759068608,0.0064704603,0.177812194,0.00431365848,0.2,0.0699349657,0.0273188663,0.00207770929,-0.194065173,-0.0108300936,-0.2,0.00759068608,0.084576574
8,8813817,0.0741816983,-0.0248188414,0.0490240827,0.0107672811,0.051235836,-0.138485849,-0.141792402,-0.0784975216,-0.10227292,-0.175054863,0.340724677,-0.0936855376,0.00593453586,-0.00198550731,-0.177939163,-0.195154724,0.00409886688,-0.0110788679,0.2,0.2,-0.0704545841,-0.0850109726,0.0272579741,-0.00749484301,0.00593453586,0.177939163,0.00409886688,0.2,0.0704545841,0.0272579741,0.00198550731,-0.195154724,-0.0110788679,-0.2,0.00749484301,0.0850109726
9,8833158,0.0721492246,-0.0269913301,0.0488459021,0.00917411968,0.0500000529,-0.14104566,-0.1400709,-0.0806475803,-0.103369489,-0.173408568,0.336604297,-0.0910705402,0.00577193797,-0.00215930641,-0.178019344,-0.195871646,0.00400000423,-0.0112836528,0.2,0.2,-0.0706738979,-0.0846817136,0.0269283438,-0.00728564322,0.00577193797,0.178019344,0.00400000423,0.2,0.0706738979,0.0269283438,0.00215930641,-0.195871646,-0.0112836528,-0.2,0.00728564322,0.0846817136
