frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8677411,0.108441524,-0.0486977212,-0.0170673076,0.024289757,-0.045223169,-0.0426724851,-0.13473691,-0.0630286485,-0.272431612,-0.0334712416,-0.190410882,-0.0280684456,0.00867532194,-0.0038958177,-0.305120192,-0.292713073,-0.00361785352,-0.00341379881,0.3,0.3,-0.240864742,-0.205020686,-0.0152328706,-0.00224547565,0.00867532194,0.305120192,-0.00361785352,0.3,0.401111396,-0.375492441,0.0038958177,-0.292713073,-0.00341379881,-0.3,-0.330643638,0.331195255
1,8682289,0.133572996,-0.0995997787,-0.0240277294,0.0347379111,-0.0529167429,-0.0374594629,-0.182061121,-0.10087961,-0.518047214,-0.0587535612,-0.292436182,-0.0685391873,0.0106858397,-0.00796798229,-0.307208319,-0.289578627,-0.00423333943,-0.00299675703,0.3,0.3,-0.277707082,-0.208813034,-0.0233948946,-0.00548313498,0.0106858397,0.307208319,-0.00423333943,0.3,0.468084999,-0.426851679,0.00796798229,-0.289578627,-0.00299675703,-0.3,-0.333553816,0.340419503
2,8702667,0.10576497,-0.150389791,-0.0372575559,0.0448536687,-0.041841656,-0.0249604639,-0.187363252,-0.114026934,-0.727545142,-0.0771529153,-0.336532265,-0.0992480144,0.00846119761,-0.0120311832,-0.311177267,-0.286543899,-0.00334733248,-0.00199683711,0.3,0.3,-0.309131771,-0.211572937,-0.0269225812,-0.00793984115,0.00846119761,0.311177267,-0.00334733248,0.3,0.522148974,-0.474126355,0.0120311832,-0.286543899,-0.00199683711,-0.3,-0.335579567,0.347231743
3,8751530,0.0505195931,-0.202066243,-0.0572198592,0.058350388,-0.0251498148,-0.0111653032,-0.192480519,-0.118591368,-0.911587954,-0.0857156962,-0.338767111,-0.121786907,0.00404156744,-0.0161652994,-0.317165958,-0.282494884,-0.00201198518,-0.000893224254,0.3,0.3,-0.336738193,-0.212857354,-0.0271013689,-0.00974295259,0.00404156744,0.317165958,-0.00201198518,0.3,0.56709723,-0.5185953,0.0161652994,-0.282494884,-0.000893224254,-0.3,-0.335880709,0.351050885
4,8788396,-0.0240960047,-0.248567089,-0.0758204311,0.0723564848,-0.00624114787,0.00712870108,-0.207736343,-0.117357746,-1.07384837,-0.0899253637,-0.29895103,-0.141339377,-0.00192768037,-0.0198853672,-0.322746129,-0.278293055,-0.00049929183,0.000570296086,0.3,0.3,-0.361077255,-0.213488805,-0.0239160824,-0.0113071501,-0.00192768037,0.322746129,-0.00049929183,0.3,0.603733669,-0.561138089,0.0198853672,-0.278293055,0.000570296086,-0.3,-0.335369157,0.353595282
5,8817493,-0.100083277,-0.288850427,-0.0895908624,0.0857339427,0.0071094702,0.0292500816,-0.226327807,-0.116256662,-1.21486378,-0.0888457075,-0.241025731,-0.159791559,-0.00800666213,-0.0231080341,-0.326877259,-0.274279817,0.000568757616,0.00234000653,0.3,0.3,-0.38,-0.213326856,-0.0192820585,-0.0127833247,-0.00800666213,0.326877259,0.000568757616,0.3,0.630310237,-0.596415526,0.0231080341,-0.274279817,0.00234000653,-0.3,-0.333671311,0.354789731
6,8827422,-0.132026032,-0.304194719,-0.095546782,0.0915683061,0.00981927663,0.0344782099,-0.256228834,-0.128330618,-1.34099102,-0.0810219571,-0.240330905,-0.183860987,-0.0105620825,-0.0243355775,-0.328664035,-0.272529508,0.00078554213,0.00275825679,0.3,0.3,-0.38,-0.212153294,-0.0192264724,-0.014708879,-0.0105620825,0.328664035,0.00078554213,0.3,0.630255253,-0.596468418,0.0243355775,-0.272529508,0.00275825679,-0.3,-0.329912572,0.354816469
7,8841201,-0.135712907,-0.304017127,-0.0953515247,0.0945551544,0.00659313053,0.0310984906,-0.287018538,-0.146034047,-1.46090078,-0.0741723701,-0.264528424,-0.210078269,-0.0108570325,-0.0243213701,-0.328605457,-0.271633454,0.000527450442,0.00248787925,0.3,0.3,-0.38,-0.211125856,-0.0211622739,-0.0168062615,-0.0108570325,0.328605457,0.000527450442,0.3,0.632171402,-0.594627624,0.0243213701,-0.271633454,0.00248787925,-0.3,-0.326221382,0.355247608
8,8853792,-0.115947604,-0.290382534,-0.0911126062,0.0919854417,0.000589368457,0.0208009221,-0.30210194,-0.164506614,-1.57363105,-0.0663449019,-0.310275733,-0.229379386,-0.00927580833,-0.0232306027,-0.327333782,-0.272404367,4.71494766e-05,0.00166407377,0.3,0.3,-0.38,-0.209951735,-0.0248220587,-0.0183503509,-0.00927580833,0.327333782,4.71494766e-05,0.3,0.635801375,-0.591154247,0.0232306027,-0.272404367,0.00166407377,-0.3,-0.322833006,0.354901601
9,8861102,-0.0910124257,-0.284380466,-0.0876425952,0.0847878233,-0.00836846232,0.0119840819,-0.303277194,-0.187945172,-1.68288457,-0.0616661832,-0.346214443,-0.240727291,-0.00728099406,-0.0227504373,-0.326292779,-0.274563653,-0.000669476986,0.000958726555,0.3,0.3,-0.38,-0.209249927,-0.0276971555,-0.0192581832,-0.00728099406,0.326292779,-0.000669476986,0.3,0.638659808,-0.58843181,0.0227504373,-0.274563653,0.000958726555,-0.3,-0.320822257,0.354680626
