frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8839902,0.136849701,0.0855116621,0.0169926398,-0.086791724,-0.0186985526,-0.238726109,-0.290969223,0.156301886,-0.183431476,-0.261943579,0.196641058,0.593555152,0.0109479761,0.00684093297,-0.192353312,-0.239056276,-0.00149588421,-0.0190980887,0.2,0.270335849,-0.0866862953,-0.102388716,0.0157312846,0.0474844122,0.0109479761,0.192353312,-0.00149588421,0.2,0.0866862953,0.0157312846,-0.00684093297,-0.239056276,-0.0190980887,-0.270335849,-0.0474844122,0.102388716
1,8844692,0.36948055,0.0538428836,-0.0318415128,-0.0540071651,0.0183312818,-0.350348055,-0.455296218,0.265182734,-0.29870674,-0.264229208,0.320456415,0.896575153,0.029558444,0.00430743068,-0.214328681,-0.224303224,0.00146650255,-0.0280278444,0.2,0.31933223,-0.109741348,-0.102845842,0.0256365132,0.0717260122,0.029558444,0.214328681,0.00146650255,0.2,0.109741348,0.0256365132,-0.00430743068,-0.224303224,-0.0280278444,-0.31933223,-0.0717260122,0.102845842
2,8855523,0.608786047,0.00979251228,-0.0914267674,0.012125589,0.0829526559,-0.407230675,-0.564240634,0.356014431,-0.423014045,-0.228511333,0.413635314,0.930858314,0.0487028837,0.000783400983,-0.241142045,-0.194543485,0.00663621247,-0.032578454,0.2,0.360206494,-0.134602809,-0.0957022667,0.0330908251,0.0744686651,0.0487028837,0.241142045,0.00663621247,0.2,0.134602809,0.0330908251,-0.000783400983,-0.194543485,-0.032578454,-0.360206494,-0.0744686651,0.0957022667
3,8883270,0.837512016,-0.0343626328,-0.132324412,0.0754061937,0.129542634,-0.423921734,-0.606020272,0.416977435,-0.549747169,-0.208823144,0.472098827,0.804900885,0.0670009613,-0.00274901062,-0.259545986,-0.166067213,0.0103634107,-0.0339137387,0.2,0.387639846,-0.159949434,-0.0917646289,0.0377679062,0.0643920708,0.0670009613,0.259545986,0.0103634107,0.2,0.159949434,0.0377679062,0.00274901062,-0.166067213,-0.0339137387,-0.387639846,-0.0643920708,0.0917646289
4,8902947,1.02810514,-0.102646053,-0.169932693,0.114184082,0.127224192,-0.409880519,-0.606161177,0.443824261,-0.637361825,-0.209113449,0.502768576,0.667728722,0.0822484112,-0.00821168423,-0.276469712,-0.148617163,0.0101779354,-0.0327904415,0.2,0.399720918,-0.177472365,-0.0918226898,0.0402214861,0.0534182978,0.0822484112,0.276469712,0.0101779354,0.2,0.177472365,0.0402214861,0.00821168423,-0.148617163,-0.0327904415,-0.399720918,-0.0534182978,0.0918226898
5,8915768,1.1168313,-0.210138157,-0.211410224,0.153597414,0.0926862881,-0.386411667,-0.582222581,0.398070455,-0.761179686,-0.216337681,0.455218196,0.550935745,0.0893465042,-0.0168110526,-0.295134601,-0.130881163,0.00741490304,-0.0309129333,0.2,0.379131705,-0.202235937,-0.0932675362,0.0364174557,0.0440748596,0.0893465042,0.295134601,0.00741490304,0.2,0.202235937,0.0364174557,0.0168110526,-0.130881163,-0.0309129333,-0.379131705,-0.0440748596,0.0932675362
6,8943027,1.02482235,-0.298090309,-0.238842741,0.182620212,0.0867381915,-0.3797023,-0.520315886,0.320863158,-0.882002413,-0.250988513,0.340420991,0.508422494,0.0819857883,-0.0238472247,-0.307479233,-0.117820904,0.00693905532,-0.030376184,0.2,0.344388421,-0.226400483,-0.100197703,0.0272336793,0.0406737995,0.0819857883,0.307479233,0.00693905532,0.2,0.226400483,0.0272336793,0.0238472247,-0.117820904,-0.030376184,-0.344388421,-0.0406737995,0.100197703
7,8962818,0.727614403,-0.323873967,-0.288146496,0.219619974,0.128003046,-0.41559723,-0.425593734,0.210120529,-0.948734879,-0.325726539,0.178687215,0.483086824,0.0582091522,-0.0259099174,-0.329665923,-0.101171011,0.0102402437,-0.0332477784,0.2,0.294554238,-0.23,-0.115145308,0.0142949772,0.038646946,0.0582091522,0.329665923,0.0102402437,0.2,0.23,0.0142949772,0.0259099174,-0.101171011,-0.0332477784,-0.294554238,-0.038646946,0.115145308
8,8973912,0.332345963,-0.287789732,-0.335020483,0.211420998,0.194378272,-0.520135522,-0.29939276,0.0863774419,-0.927324772,-0.452133209,0.0427392647,0.451335609,0.026587677,-0.0230231786,-0.350759217,-0.104860551,0.0155502617,-0.0416108418,0.2,0.238869849,-0.23,-0.140426642,0.00341914117,0.0361068487,0.026587677,0.350759217,0.0155502617,0.2,0.23,0.00341914117,0.0230231786,-0.104860551,-0.0416108418,-0.238869849,-0.0361068487,0.140426642
9,9002251,-0.0527612045,-0.213322312,-0.331366688,0.147336289,0.264906734,-0.706923842,-0.101544291,-0.102815561,-0.799320936,-0.532010615,-0.0546494313,0.374458104,-0.00422089636,-0.0170657849,-0.34911501,-0.13369867,0.0211925387,-0.0565539074,0.2,0.2,-0.209864187,-0.156402123,-0.0043719545,0.0299566483,-0.00422089636,0.34911501,0.0211925387,0.2,0.209864187,-0.0043719545,0.0170657849,-0.13369867,-0.0565539074,-0.2,-0.0299566483,0.156402123
