frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,7675167,-0.459312648,-4.52157974,-0.11849454,-3.1759932,-1.82714057,-0.74179709,-3.68165183,3.17830038,0.906608105,-3.2359736,0.942730546,-1.59031069,-0.042,-0.042,-0.0142193449,-0.042,-0.042,-0.042,-0.042,0.042,0.042,-0.042,0.042,-0.042,-0.042,0.0142193449,-0.042,-0.042,0.042,-0.042,-0.042,-0.042,-0.042,0.042,-0.042,-0.042
1,7682500,-0.182038471,-4.30804539,0.282887489,-1.63324273,-0.336749673,-0.77173245,-3.66328239,-0.640118957,0.917868197,-1.90102661,0.978499532,-1.99456036,-0.0218446165,-0.042,0.0339464986,-0.042,-0.0404099607,-0.042,-0.042,-0.042,0.042,-0.042,0.042,-0.042,-0.0218446165,-0.0339464986,-0.0404099607,-0.042,0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
2,7706054,-0.739535153,-4.14717102,0.524607897,-1.00054395,0.0625788942,-0.781829953,-3.72020173,-1.57907963,0.238357231,-1.16122174,-0.0176080782,-1.34439957,-0.042,-0.042,0.042,-0.042,0.0075094673,-0.042,-0.042,-0.042,0.0286028677,-0.042,-0.00211296938,-0.042,-0.042,-0.042,0.0075094673,-0.042,-0.00211296938,-0.0286028677,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
3,7722035,-0.422060192,-4.24784756,0.134493575,-0.387432784,0.231880128,-0.32141763,-4.02070379,-2.01915383,-0.175305799,-0.562480271,-0.0879346505,-1.12661374,-0.042,-0.042,0.0161392289,-0.042,0.0278256154,-0.0385701156,-0.042,-0.042,-0.0210366958,-0.042,-0.0105521581,-0.042,-0.042,-0.0161392289,0.0278256154,-0.042,-0.0105521581,0.0210366958,-0.042,-0.042,-0.0385701156,-0.042,-0.042,-0.042
4,7747310,-0.130134031,-4.15602016,-0.118928552,-0.297381848,-0.00694377627,0.100764982,-4.11361122,-2.45611978,-0.466363639,-0.20971708,-0.100891106,-0.770802915,-0.0156160837,-0.042,-0.0142714262,-0.0356858218,-0.000833253153,0.0120917979,-0.042,-0.042,-0.042,-0.0251660496,-0.0121069327,-0.042,-0.0156160837,0.0142714262,-0.000833253153,-0.042,-0.0121069327,0.042,-0.042,-0.0356858218,0.0120917979,-0.042,-0.0251660496,-0.042
5,7760387,-0.0299714692,-3.99589467,-0.0501595289,-0.57861352,-0.439426064,0.660079062,-4.10184956,-2.63932538,-0.440455943,-0.492372245,0.0897199512,-0.79265213,-0.0035965763,-0.042,-0.00601914346,-0.042,-0.042,0.042,-0.042,-0.042,-0.042,-0.042,0.0107663941,-0.042,-0.0035965763,0.00601914346,-0.042,-0.042,0.0107663941,0.042,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
6,7787546,-0.208603755,-3.81602955,0.0811868906,-0.598022163,-0.653335214,0.93806529,-4.13990116,-2.87356687,-0.0196598601,-0.596989155,0.217957661,-0.731425762,-0.0250324506,-0.042,0.00974242687,-0.042,-0.042,0.042,-0.042,-0.042,-0.00235918321,-0.042,0.0261549193,-0.042,-0.0250324506,-0.00974242687,-0.042,-0.042,0.0261549193,0.00235918321,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
7,7799724,-0.446570545,-3.56484556,0.0176416077,-0.323067576,-0.525651991,0.790972292,-4.09723759,-3.15532207,0.156072766,-0.458581597,0.257028759,-0.640318573,-0.042,-0.042,0.00211699292,-0.0387681091,-0.042,0.042,-0.042,-0.042,0.0187287319,-0.042,0.030843451,-0.042,-0.042,-0.00211699292,-0.042,-0.042,0.030843451,-0.0187287319,-0.042,-0.0387681091,0.042,-0.042,-0.042,-0.042
8,7826578,-0.614493966,-3.30756569,-0.0614538789,-0.135205552,-0.308595657,0.561543882,-4.05511093,-3.51071739,0.144284233,-0.226300538,0.193083778,-0.717988193,-0.042,-0.042,-0.00737446547,-0.0162246662,-0.0370314789,0.042,-0.042,-0.042,0.017314108,-0.0271560645,0.0231700534,-0.042,-0.042,0.00737446547,-0.0370314789,-0.042,0.0231700534,-0.017314108,-0.042,-0.0162246662,0.042,-0.042,-0.0271560645,-0.042
9,7839724,-0.65688324,-3.1039536,-0.1377244,-0.0676130056,0.0388667807,0.181058303,-4.02166986,-3.91387486,0.0821332708,-0.0897493958,0.109741822,-0.880473137,-0.042,-0.042,-0.0165269279,-0.00811356068,0.00466401368,0.0217269963,-0.042,-0.042,0.0098559925,-0.0107699275,0.0131690186,-0.042,-0.042,0.0165269279,0.00466401368,-0.042,0.0131690186,-0.0098559925,-0.042,-0.00811356068,0.0217269963,-0.042,-0.0107699275,-0.042
