frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8672274,0.579318523,2.60902572,-3.1410501,0.606729627,3.74342847,4.48419237,-1.24301326,-1.67250013,-8.20169449,-3.10568547,0.423816174,-6.63564062,0.0463454819,0.12,-0.6,0.073028332,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0339052939,-0.08,0.0463454819,0.6,0.12,0.2,0.23,0.0339052939,-0.12,0.073028332,0.12,-0.2,0.08,0.23
1,8676526,2.05241585,3.81772852,-4.15005207,1.29064798,4.92440557,6.00890684,-1.11917484,-1.13629222,-11.5762863,-5.59667253,0.347927064,-10.0366774,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0278341651,-0.08,0.12,0.6,0.12,0.2,0.23,0.0278341651,-0.12,0.2,0.12,-0.2,0.08,0.23
2,8696118,3.13824964,4.7806325,-4.95874262,1.47662973,5.05769777,6.39931726,-1.00447595,-0.964274645,-13.3962049,-7.71049356,0.519428849,-11.0975857,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0415543079,-0.08,0.12,0.6,0.12,0.2,0.23,0.0415543079,-0.12,0.2,0.12,-0.2,0.08,0.23
3,8718593,4.07383251,5.1355958,-5.45033026,1.61986685,4.45957088,6.36555481,-1.00461435,-1.06608117,-14.3822346,-9.65189266,0.591691256,-11.3807907,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0473353004,-0.08,0.12,0.6,0.12,0.2,0.23,0.0473353004,-0.12,0.2,0.12,-0.2,0.08,0.23
4,8736557,4.29622793,4.98873043,-5.69103146,1.58715475,3.83702898,6.42161942,-0.810224891,-1.52642083,-14.9504585,-10.976141,0.502467513,-11.3969479,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.040197401,-0.08,0.12,0.6,0.12,0.2,0.23,0.040197401,-0.12,0.2,0.12,-0.2,0.08,0.23
5,8763826,4.47903252,4.78191328,-5.73312712,1.53050673,2.94820118,6.30021,-0.877290666,-1.92466664,-15.4562874,-11.8926725,0.47008723,-11.1173334,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0376069784,-0.08,0.12,0.6,0.12,0.2,0.23,0.0376069784,-0.12,0.2,0.12,-0.2,0.08,0.23
6,8777371,4.50480223,4.69639969,-5.79219341,1.4671762,2.33726907,6.25787449,-0.98162353,-2.06072474,-15.9111271,-12.3486853,0.459308207,-10.8853464,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0367446566,-0.08,0.12,0.6,0.12,0.2,0.23,0.0367446566,-0.12,0.2,0.12,-0.2,0.08,0.23
7,8796833,4.5647645,4.68182373,-5.92142963,1.42153776,1.97472453,6.21362638,-1.12391436,-2.06471634,-16.2904739,-12.6848631,0.45163992,-10.7364521,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0361311936,-0.08,0.12,0.6,0.12,0.2,0.23,0.0361311936,-0.12,0.2,0.12,-0.2,0.08,0.23
8,8819320,4.60975504,4.69515133,-6.04729652,1.38820696,1.77002978,6.18883657,-1.23459446,-2.05027843,-16.6229496,-12.9513826,0.431661159,-10.6291161,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0345328927,-0.08,0.12,0.6,0.12,0.2,0.23,0.0345328927,-0.12,0.2,0.12,-0.2,0.08,0.23
9,8841826,4.67562675,4.71250105,-6.14502621,1.37020111,1.66295409,6.17533445,-1.32753384,-2.02589393,-16.868288,-13.1444988,0.410691202,-10.5615215,0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,0.0328552961,-0.08,0.12,0.6,0.12,0.2,0.23,0.0328552961,-0.12,0.2,0.12,-0.2,0.08,0.23
