frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,7668267,3.25590515,-0.135344684,1.79331136,-2.34121609,5.50126696,-3.19698477,-4.53728247,-1.86887884,8.95039749,3.70166302,-5.53732586,-5.20476532,0.042,-0.0162413621,0.042,-0.042,0.042,-0.042,-0.042,-0.042,0.042,0.042,-0.042,-0.042,0.042,-0.042,0.042,-0.042,-0.042,-0.042,-0.0162413621,-0.042,-0.042,-0.042,0.042,-0.042
1,7682666,2.02390838,0.706662238,1.6884712,-1.11952484,5.23711205,-4.62940836,-4.44540882,-3.52392602,3.22573519,0.711628735,0.37526226,-3.72359514,0.042,0.042,0.042,-0.042,0.042,-0.042,-0.042,-0.042,0.042,0.042,0.042,-0.042,0.042,-0.042,0.042,-0.042,0.042,-0.042,0.042,-0.042,-0.042,-0.042,0.042,-0.042
2,7691833,0.457710117,-0.224779204,0.42787239,-0.719332337,4.11262751,-4.29508591,-3.46433306,-4.47441912,0.59109962,-0.440238386,0.22213909,-2.92146587,0.042,-0.0269735044,0.042,-0.042,0.042,-0.042,-0.042,-0.042,0.042,-0.042,0.0266566908,-0.042,0.042,-0.042,0.042,-0.042,0.0266566908,-0.042,-0.0269735044,-0.042,-0.042,-0.042,-0.042,-0.042
3,7713363,-1.09680986,-1.15315711,-0.331380695,-0.705641568,2.69274211,-3.20559001,-2.6305263,-5.0355854,-0.307757437,-1.18005002,-0.047574915,-2.04676652,-0.042,-0.042,-0.0397656834,-0.042,0.042,-0.042,-0.042,-0.042,-0.0369308925,-0.042,-0.0057089898,-0.042,-0.042,0.0397656834,0.042,-0.042,-0.0057089898,0.0369308925,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
4,7733701,-2.69285464,-1.63020766,-0.381003737,-0.760243177,1.55209267,-1.60734439,-2.44880533,-5.30796909,-0.1065429,-1.16049922,-0.323602051,-2.06176472,-0.042,-0.042,-0.042,-0.042,0.042,-0.042,-0.042,-0.042,-0.012785148,-0.042,-0.0388322461,-0.042,-0.042,0.042,0.042,-0.042,-0.0388322461,0.012785148,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042
5,7753910,-4.14971876,-1.92722225,-0.400308371,-0.890149653,0.24687472,-0.112361565,-2.76536512,-5.64156055,0.0987080932,-1.4242034,-0.694748402,-2.35256743,-0.042,-0.042,-0.042,-0.042,0.0296249664,-0.0134833878,-0.042,-0.042,0.0118449712,-0.042,-0.042,-0.042,-0.042,0.042,0.0296249664,-0.042,-0.042,-0.0118449712,-0.042,-0.042,-0.0134833878,-0.042,-0.042,-0.042
6,7784199,-4.26020622,-1.96526015,-0.412778169,-0.848916948,-0.245565176,0.578937411,-3.0377121,-5.74427223,0.201356381,-1.20842803,-0.502421439,-2.36604881,-0.042,-0.042,-0.042,-0.042,-0.0294678211,0.042,-0.042,-0.042,0.0241627657,-0.042,-0.042,-0.042,-0.042,0.042,-0.0294678211,-0.042,-0.042,-0.0241627657,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
7,7792425,-3.88206005,-1.97826374,-0.345722646,-0.713207006,-0.332471669,0.821302891,-3.36480188,-6.07606506,0.227702826,-1.02097833,-0.307955623,-2.32915545,-0.042,-0.042,-0.0414867175,-0.042,-0.0398966002,0.042,-0.042,-0.042,0.0273243392,-0.042,-0.0369546747,-0.042,-0.042,0.0414867175,-0.0398966002,-0.042,-0.0369546747,-0.0273243392,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
8,7813711,-3.49837542,-2.05738354,-0.302296668,-0.646984637,-0.337748766,0.786606729,-3.60287356,-6.46605539,0.182633236,-0.933127403,-0.189980358,-2.24790263,-0.042,-0.042,-0.0362756002,-0.042,-0.0405298519,0.042,-0.042,-0.042,0.0219159883,-0.042,-0.0227976429,-0.042,-0.042,0.0362756002,-0.0405298519,-0.042,-0.0227976429,-0.0219159883,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
9,7837270,-3.37278771,-2.11299467,-0.293102831,-0.588817775,-0.25267908,0.728649735,-3.77207375,-6.82656765,0.174427122,-0.878110588,-0.151150256,-2.22348356,-0.042,-0.042,-0.0351723397,-0.042,-0.0303214896,0.042,-0.042,-0.042,0.0209312546,-0.042,-0.0181380308,-0.042,-0.042,0.0351723397,-0.0303214896,-0.042,-0.0181380308,-0.0209312546,-0.042,-0.042,0.042,-0.042,-0.042,-0.042
