frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8686260,0.0474987663,-0.10747496,-0.0272575859,-0.0118237594,0.00943197962,0.0113266092,-0.179001302,-0.0796341971,-0.311245292,-0.0477037728,-0.0804602504,0.0468862318,0.00379990131,-0.00859799683,-0.308177276,-0.303547128,0.00075455837,0.000906128734,0.3,0.3,-0.246686794,-0.207155566,-0.00643682003,0.00375089854,0.00379990131,0.308177276,0.00075455837,0.3,0.401797381,-0.393342875,0.00859799683,-0.303547128,0.000906128734,-0.3,-0.339942976,0.328722115
1,8701101,0.0692012459,-0.171803117,-0.0365250707,0.00807788968,0.018031681,0.0342679508,-0.261409581,-0.12580955,-0.592783868,-0.0774793848,-0.128502876,0.035760086,0.00553609967,-0.0137442493,-0.310957521,-0.297576633,0.00144253448,0.00274143606,0.3,0.3,-0.28891758,-0.211621908,-0.01028023,0.00286080688,0.00553609967,0.310957521,0.00144253448,0.3,0.473246619,-0.457446938,0.0137442493,-0.297576633,0.00274143606,-0.3,-0.346220981,0.336719541
2,8720235,0.0725940764,-0.211138293,-0.0423077904,0.02724397,0.0243110452,0.0496663228,-0.305891603,-0.142504737,-0.847449958,-0.10121353,-0.152723268,0.00911123212,0.00580752611,-0.0168910635,-0.312692337,-0.291826809,0.00194488361,0.00397330582,0.3,0.3,-0.327117494,-0.215182029,-0.0122178614,0.00072889857,0.00580752611,0.312692337,0.00194488361,0.3,0.536834011,-0.517183134,0.0168910635,-0.291826809,0.00397330582,-0.3,-0.349834506,0.344486049
3,8741443,0.0633034706,-0.236653075,-0.0505866334,0.0385475792,0.0260077138,0.0533505864,-0.328209907,-0.140295357,-1.07207525,-0.122481905,-0.164009228,-0.0244597215,0.00506427765,-0.018932246,-0.31517599,-0.288435726,0.0020806171,0.00426804692,0.3,0.3,-0.360811287,-0.218372286,-0.0131207383,-0.00195677772,0.00506427765,0.31517599,0.0020806171,0.3,0.592660338,-0.570975958,0.018932246,-0.288435726,0.00426804692,-0.3,-0.352319703,0.352204808
4,8762805,0.0393904299,-0.255846232,-0.0611708723,0.0478725061,0.0234595183,0.0548445471,-0.338528335,-0.133106038,-1.25942445,-0.143966347,-0.159868449,-0.0565209836,0.00315123439,-0.0204676986,-0.318351262,-0.285638248,0.00187676147,0.00438756377,0.3,0.3,-0.38,-0.221594952,-0.0127894759,-0.00452167869,0.00315123439,0.318351262,0.00187676147,0.3,0.623902853,-0.602607404,0.0204676986,-0.285638248,0.00438756377,-0.3,-0.354981153,0.359857988
5,8779664,0.00470544258,-0.271224469,-0.0674554706,0.0531956404,0.0184831489,0.056484852,-0.339639544,-0.127408832,-1.41461515,-0.1651427,-0.148628965,-0.0822227374,0.000376435407,-0.0216979575,-0.320236641,-0.284041308,0.00147865191,0.00451878816,0.3,0.3,-0.38,-0.224771405,-0.0118903172,-0.00657781899,0.000376435407,0.320236641,0.00147865191,0.3,0.62301786,-0.603467131,0.0216979575,-0.284041308,0.00451878816,-0.3,-0.358069896,0.366940026
6,8804980,-0.0400313511,-0.281344861,-0.0700400919,0.0604386851,0.0143961627,0.0573722422,-0.329845339,-0.120152518,-1.53446865,-0.180895016,-0.141187862,-0.104997635,-0.00320250809,-0.0225075889,-0.321012028,-0.281868394,0.00115169302,0.00458977938,0.3,0.3,-0.38,-0.227134252,-0.0112950289,-0.00839981079,-0.00320250809,0.321012028,0.00115169302,0.3,0.622432266,-0.60403661,0.0225075889,-0.281868394,0.00458977938,-0.3,-0.360086123,0.372495518
7,8824089,-0.0880267844,-0.288496017,-0.0714166015,0.0702875927,0.0115933269,0.0586793236,-0.317723036,-0.11569716,-1.62370539,-0.190316811,-0.143259645,-0.119150668,-0.00704214275,-0.0230796814,-0.32142498,-0.278913722,0.000927466154,0.00469434589,0.3,0.3,-0.38,-0.228547522,-0.0114607716,-0.00953205347,-0.00704214275,0.32142498,0.000927466154,0.3,0.622595284,-0.60387803,0.0230796814,-0.278913722,0.00469434589,-0.3,-0.361252374,0.375860451
8,8838984,-0.109069496,-0.28303203,-0.0708554238,0.0752048194,0.0051854169,0.0521802939,-0.320650727,-0.131366938,-1.7003783,-0.192349166,-0.18490617,-0.129574239,-0.00872555971,-0.0226425624,-0.321256627,-0.277438554,0.000414833352,0.00417442352,0.3,0.3,-0.38,-0.228852375,-0.0147924936,-0.0103659391,-0.00872555971,0.321256627,0.000414833352,0.3,0.625876382,-0.600694164,0.0226425624,-0.277438554,0.00417442352,-0.3,-0.360931537,0.377164735
9,8862447,-0.127085522,-0.281617969,-0.0697499886,0.0758036748,0.00162886945,0.0521060042,-0.328520238,-0.153342575,-1.78181505,-0.194686517,-0.202025712,-0.135346696,-0.0101668417,-0.0225294375,-0.320924997,-0.277258898,0.000130309556,0.00416848034,0.3,0.3,-0.38,-0.229202978,-0.0161620569,-0.0108277357,-0.0101668417,0.320924997,0.000130309556,0.3,0.627227426,-0.599387524,0.0225294375,-0.277258898,0.00416848034,-0.3,-0.361045621,0.378177122
