frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8716201,0.0391144753,-0.373772144,-0.152512774,-0.0491647944,-0.0044015008,0.139165342,-0.217694685,-0.478012651,-0.324862331,-0.0878282487,0.0619267374,-0.0277420543,0.00312915802,-0.0299017715,-0.345753832,-0.314749438,-0.000352120064,0.0111332273,0.3,0.3,-0.24872935,-0.213174237,0.00495413899,-0.00221936435,0.00312915802,0.345753832,-0.000352120064,0.3,0.393963825,-0.407675593,0.0299017715,-0.314749438,0.0111332273,-0.3,-0.343734776,0.344170702
1,8717910,0.0536170527,-0.640380263,-0.220763981,0.0197313968,-0.024762528,0.227736697,-0.26624009,-0.704963982,-0.61868763,-0.175279871,0.0916212276,-0.108024947,0.00428936422,-0.0512304211,-0.366229194,-0.294080581,-0.00198100224,0.0182189357,0.3,0.3,-0.292803144,-0.226291981,0.0073296982,-0.00864199579,0.00428936422,0.366229194,-0.00198100224,0.3,0.462391258,-0.480676948,0.0512304211,-0.294080581,0.0182189357,-0.3,-0.358500033,0.371389337
2,8733893,0.0593732856,-0.833180666,-0.278166294,0.0522018187,-0.0508670546,0.267884463,-0.23063013,-0.840172648,-0.833033025,-0.262108862,0.103946581,-0.215664878,0.00474986285,-0.0666544533,-0.383449888,-0.284339454,-0.00406936437,0.021430757,0.3,0.3,-0.324954954,-0.239316329,0.00831572652,-0.0172531903,0.00474986285,0.383449888,-0.00406936437,0.3,0.513373622,-0.533434485,0.0666544533,-0.284339454,0.021430757,-0.3,-0.371054935,0.400623961
3,8753239,0.0471471436,-0.968455076,-0.324700922,0.108687207,-0.0790316164,0.271987766,-0.175712764,-0.893436193,-0.996147156,-0.323575377,0.114374213,-0.294222295,0.00377177149,-0.0774764061,-0.397410277,-0.267393838,-0.00632252932,0.0217590213,0.3,0.3,-0.349422073,-0.248536307,0.00914993703,-0.0235377836,0.00377177149,0.397410277,-0.00632252932,0.3,0.552350638,-0.573871008,0.0774764061,-0.267393838,0.0217590213,-0.3,-0.379811063,0.421527641
4,8776203,0.0149376094,-1.0392884,-0.371504635,0.190530747,-0.0963004827,0.262838632,-0.123733111,-0.879253268,-1.10248291,-0.372097611,0.115834557,-0.344982862,0.00119500875,-0.0831430721,-0.41145139,-0.242840776,-0.00770403862,0.0210270905,0.3,0.3,-0.365372437,-0.255814642,0.00926676452,-0.027598629,0.00119500875,0.41145139,-0.00770403862,0.3,0.578320491,-0.59994371,0.0831430721,-0.242840776,0.0210270905,-0.3,-0.387616518,0.437160094
5,8794078,-0.0351657122,-1.07521474,-0.419181615,0.255929708,-0.113109417,0.243118942,-0.0695559457,-0.83074379,-1.1275233,-0.415085107,0.106332861,-0.389288604,-0.00281325698,-0.0860171795,-0.425754485,-0.223221087,-0.00904875338,0.0194495153,0.3,0.3,-0.369128495,-0.262262766,0.00850662887,-0.0311430883,-0.00281325698,0.425754485,-0.00904875338,0.3,0.585217439,-0.605336371,0.0860171795,-0.223221087,0.0194495153,-0.3,-0.394600539,0.450971122
6,8814390,-0.14410305,-1.10123885,-0.48870644,0.331166178,-0.102528855,0.191533059,0.0334849581,-0.772161722,-1.07144988,-0.441083223,0.0796584636,-0.425888956,-0.011528244,-0.0880991077,-0.446611932,-0.200650147,-0.00820230842,0.0153226447,0.310045487,0.3,-0.360717481,-0.266162483,0.00637267709,-0.0340711164,-0.011528244,0.446611932,-0.00820230842,0.310045487,0.573496217,-0.589554857,0.0880991077,-0.200650147,0.0153226447,-0.3,-0.398085142,0.460106566
7,8835449,-0.273510516,-1.07091439,-0.581049383,0.414097756,-0.0780722499,0.0526098013,0.152968138,-0.704978108,-0.937562943,-0.459627956,0.0263630915,-0.448055655,-0.0218808413,-0.085673151,-0.474314815,-0.175770673,-0.00624577999,0.0042087841,0.345890442,0.3,-0.340634441,-0.268944193,0.00210904732,-0.0358444524,-0.0218808413,0.474314815,-0.00624577999,0.345890442,0.544846825,-0.552812473,0.085673151,-0.175770673,0.0042087841,-0.3,-0.400876372,0.466315767
8,8852467,-0.399155051,-0.955535471,-0.662938893,0.47802794,-0.0535976812,-0.162188649,0.276781797,-0.636496484,-0.763675272,-0.486662805,-0.00396944582,-0.434601754,-0.031932404,-0.0764428377,-0.498881668,-0.156591618,-0.0042878145,-0.0129750919,0.383034539,0.3,-0.314551291,-0.272999421,-0.000317555666,-0.0347681403,-0.031932404,0.498881668,-0.0042878145,0.383034539,0.504887981,-0.508308085,0.0764428377,-0.156591618,-0.0129750919,-0.3,-0.408431618,0.471749633
9,8880850,-0.452112019,-0.744194508,-0.710536122,0.514441252,-0.047919862,-0.418528497,0.364037484,-0.59405601,-0.556134999,-0.537750721,0.019004425,-0.367116064,-0.0361689615,-0.0595355606,-0.513160837,-0.145667624,-0.00383358896,-0.0334822798,0.409211245,0.3,-0.28342025,-0.280662608,0.001520354,-0.0293692851,-0.0361689615,0.513160837,-0.00383358896,0.409211245,0.452923153,-0.459979675,0.0595355606,-0.145667624,-0.0334822798,-0.3,-0.425910287,0.478712109
