frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8719596,-0.0650529191,-0.0511102714,-0.0112979477,-0.151046261,0.0911711454,-0.148710445,-0.0204454642,-0.202815264,-0.241113514,-0.203354567,-0.0102137839,0.159024671,-0.00520423353,-0.00408882171,-0.105084076,-0.167970818,0.00729369164,-0.0118968356,0.3,0.3,-0.248222703,-0.240670913,-0.000817102715,0.0127219737,-0.00520423353,0.105084076,0.00729369164,0.3,0.398769475,-0.401254638,0.00408882171,-0.167970818,-0.0118968356,-0.3,0.3735296,-0.40235354
1,8724250,-0.189835042,-0.0650388598,0.0568059795,-0.218488321,0.16934295,-0.274071753,0.0950446501,-0.306266934,-0.333791047,-0.266227931,-0.0793637186,0.256220609,-0.0151868033,-0.00520310879,-0.0744373092,-0.198319744,0.013547436,-0.0219257402,0.342770093,0.3,-0.266758209,-0.253245586,-0.00634909749,0.0204976487,-0.0151868033,0.0744373092,0.013547436,0.342770093,0.433836625,-0.425627217,0.00520310879,-0.198319744,-0.0219257402,-0.3,0.386151299,-0.430075412
2,8744562,-0.320806414,-0.0262274127,0.138569355,-0.305359036,0.233348474,-0.386874199,0.205128729,-0.398451805,-0.354886353,-0.257674605,-0.132118165,0.360014141,-0.0256645131,-0.00209819302,-0.0376437902,-0.237411566,0.0186678779,-0.0309499359,0.392307928,0.3,-0.270977271,-0.251534921,-0.0105694532,0.0288011312,-0.0256645131,0.0376437902,0.0186678779,0.392307928,0.44471979,-0.428333545,0.00209819302,-0.237411566,-0.0309499359,-0.3,0.3754174,-0.435485127
3,8766897,-0.441436231,0.123911172,0.272089809,-0.400429666,0.330982864,-0.48945564,0.212039962,-0.439030468,-0.400393873,-0.20684284,-0.119383752,0.584746361,-0.0353148985,0.00991289377,0.0224404141,-0.28019335,0.0264786291,-0.0391564512,0.395417983,0.3,-0.280078775,-0.241368568,-0.00955070019,0.0467797089,-0.0353148985,-0.0224404141,0.0264786291,0.395417983,0.458329414,-0.44393671,-0.00991289377,-0.28019335,-0.0391564512,-0.3,0.341886926,-0.43700138
4,8784717,-0.553533494,0.352968603,0.392005056,-0.488677114,0.485225648,-0.535998285,0.0610768646,-0.377288193,-0.593832672,-0.114597015,-0.0255511887,0.895142078,-0.0442826796,0.0282374883,0.0764022753,-0.319904701,0.0388180518,-0.0428798628,0.327484589,0.3,-0.318766534,-0.222919403,-0.0020440951,0.0716113663,-0.0442826796,-0.0764022753,0.0388180518,0.327484589,0.513384435,-0.513447738,-0.0282374883,-0.319904701,-0.0428798628,-0.3,0.288588525,-0.432390331
5,8813932,-0.589832723,0.625326633,0.391920149,-0.571162164,0.651157081,-0.50232476,-0.162436396,-0.25418812,-0.85832864,0.042003151,0.0964284539,1.09064639,-0.0471866179,0.0500261307,0.0763640672,-0.357022974,0.0520925665,-0.0401859808,0.3,0.3,-0.371665728,-0.19159937,0.00771427631,0.08,-0.0471866179,-0.0763640672,0.0520925665,0.3,0.59015152,-0.608712638,-0.0500261307,-0.357022974,-0.0401859808,-0.3,0.230066384,-0.391100112
6,8823202,-0.417637229,0.861067057,0.301823646,-0.680803776,0.784825802,-0.405477345,-0.391212136,0.022543462,-1.04408264,0.199612856,0.239415854,1.05846417,-0.0334109783,0.0688853645,0.0358206406,-0.406361699,0.0627860641,-0.0324381876,0.3,0.310144558,-0.38,-0.160077429,0.0191532683,0.08,-0.0334109783,-0.0358206406,0.0627860641,0.3,0.592812256,-0.633482388,-0.0688853645,-0.406361699,-0.0324381876,-0.310144558,0.179051354,-0.341122161
7,8845550,-0.0645750985,1.02775872,0.163124442,-0.748804092,0.931873143,-0.260546744,-0.596829712,0.315256566,-1.12458634,0.271807343,0.323102623,0.819391608,-0.00516600788,0.0822206974,-0.0265940011,-0.436961842,0.0745498514,-0.0208437395,0.3,0.441865455,-0.38,-0.145638531,0.0258482099,0.0655513287,-0.00516600788,0.0265940011,0.0745498514,0.3,0.586385968,-0.640041242,-0.0822206974,-0.436961842,-0.0208437395,-0.441865455,0.169703821,-0.303545114
8,8865192,0.349353135,1.15653908,0.0477887467,-0.651969492,1.14264381,-0.0789075568,-0.856974363,0.511995554,-1.12332618,0.324866802,0.265993655,0.547044814,0.0279482508,0.0925231266,-0.078495064,-0.393386272,0.0914115047,-0.00631260455,0.3,0.530397999,-0.38,-0.13502664,0.0212794924,0.0437635851,0.0279482508,0.078495064,0.0914115047,0.3,0.590768002,-0.635562068,-0.0925231266,-0.393386272,-0.00631260455,-0.530397999,0.173954662,-0.26456673
9,8885259,0.776258588,1.2078222,-0.0218779668,-0.424043894,1.29451203,0.0583726987,-1.06208169,0.634599268,-1.02711737,0.384964705,0.208287656,0.404920101,0.062100687,0.0966257763,-0.109845085,-0.290819752,0.103560963,0.0046698159,0.3,0.585569671,-0.38,-0.123007059,0.0166630125,0.0323936081,0.062100687,0.109845085,0.103560963,0.3,0.595210483,-0.631050567,-0.0966257763,-0.290819752,0.0046698159,-0.585569671,0.165859538,-0.233832554
10,8912735,1.05785787,0.938241482,-0.108732305,-0.12447086,1.29930258,0.21135965,-1.06056237,0.647346854,-1.04231346,0.324028015,0.218622848,0.370437205,0.0846286297,0.0750593185,-0.148929537,-0.156011887,0.103944206,0.016908772,0.3,0.591306084,-0.38,-0.135194397,0.0174898279,0.0296349764,0.0846286297,0.148929537,0.103944206,0.3,0.594413747,-0.631857512,-0.0750593185,-0.156011887,0.016908772,-0.591306084,0.188189109,-0.250552931
11,8923624,1.12520838,0.358333707,-0.33423841,0.0971484855,1.13785863,0.411167562,-0.97457701,0.598032415,-1.32603645,-0.023867486,0.339608103,0.346653074,0.0900166702,0.0286666965,-0.250407284,-0.0562831815,0.0910286903,0.032893405,0.3,0.569114587,-0.38,-0.204773497,0.0271686482,0.0277322459,0.0900166702,0.250407284,0.0910286903,0.3,0.585122162,-0.641338468,-0.0286666965,-0.0562831815,0.032893405,-0.569114587,0.301543891,-0.359775995
12,8952853,0.881534457,-0.25388059,-0.522582948,0.18486248,0.903434634,0.39697656,-0.686495066,0.426350266,-1.78128624,-0.5704633,0.350248903,0.422739714,0.0705227566,-0.0203104472,-0.335162327,-0.0168118842,0.0722747707,0.0317581248,0.3,0.49185762,-0.38,-0.31409266,0.0280199122,0.0338191772,0.0705227566,0.335162327,0.0722747707,0.3,0.584308043,-0.642175402,0.0203104472,-0.0168118842,0.0317581248,-0.49185762,0.471344712,-0.540760919
13,8965540,0.193317384,-0.581731915,-0.81690377,0.0549987033,0.577724874,-0.221535876,0.0492534302,-0.148761168,-2.03261018,-1.23693883,0.208723128,0.65917635,0.0154653907,-0.0465385532,-0.467606696,-0.0752505835,0.0462179899,-0.0177228701,0.322164044,0.3,-0.38,-0.38,0.0166978502,0.052734108,0.0154653907,0.467606696,0.0462179899,0.322164044,0.595176903,-0.631084558,0.0465385532,-0.0752505835,-0.0177228701,-0.3,0.560888129,-0.666692526
