frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,7670984,0.311101407,-0.44799763,-0.116138026,-0.280420899,-0.0444342867,0.00927290041,-0.267030448,-0.507358849,-0.272999585,-0.10944742,-0.0609400906,0.0436632559,0.0248881125,-0.0358398104,-0.134841408,-0.18412627,-0.00355474293,0.000741832033,0.3,0.3,-0.240949938,-0.216417113,-0.00487520725,0.00349306047,0.0248881125,0.134841408,-0.00355474293,0.3,-0.00487520725,0.240949938,-0.0358398104,-0.18412627,0.000741832033,-0.3,-0.216417113,0.00349306047
1,7679441,0.438700706,-0.865636528,-0.0876144618,-0.342016876,-0.115263641,-0.0638843998,-0.105108418,-0.746625483,-0.399327159,-0.250871718,0.0215277132,-0.00357341277,0.0350960565,-0.0692509222,-0.126284339,-0.202605063,-0.00922109127,-0.00511075199,0.3,0.3,-0.259899074,-0.237630758,0.00172221705,-0.000285873022,0.0350960565,0.126284339,-0.00922109127,0.3,0.00172221705,0.259899074,-0.0692509222,-0.202605063,-0.00511075199,-0.3,-0.237630758,-0.000285873022
2,7704747,0.456396222,-1.14878643,-0.044049222,-0.351247787,-0.166077405,-0.15202415,0.0961665213,-0.897580981,-0.522539556,-0.424558967,0.101881847,-0.0793160573,0.0365116978,-0.091902914,-0.113214767,-0.205374336,-0.0132861924,-0.012161932,0.328849956,0.3,-0.278380933,-0.263683845,0.00815054774,-0.00634528458,0.0365116978,0.113214767,-0.0132861924,0.328849956,0.00815054774,0.278380933,-0.091902914,-0.205374336,-0.012161932,-0.3,-0.263683845,-0.00634528458
3,7717483,0.436321974,-1.29785573,-0.034234453,-0.292586476,-0.181887552,-0.151925713,0.175676063,-0.991629124,-0.690654814,-0.575917304,0.1294934,-0.139795989,0.0349057579,-0.103828459,-0.110270336,-0.187775943,-0.0145510042,-0.012154057,0.352702819,0.3,-0.3,-0.286387596,0.010359472,-0.0111836791,0.0349057579,0.110270336,-0.0145510042,0.352702819,0.010359472,0.3,-0.103828459,-0.187775943,-0.012154057,-0.3,-0.286387596,-0.0111836791
4,7738488,0.38475123,-1.36667454,-0.0672032535,-0.17549637,-0.185118198,-0.0983330235,0.193905443,-1.06390631,-0.852854788,-0.702383995,0.0911007896,-0.188196763,0.0307800984,-0.109333963,-0.120160976,-0.152648911,-0.0148094559,-0.00786664188,0.358171633,0.3,-0.3,-0.3,0.00728806317,-0.0150557411,0.0307800984,0.120160976,-0.0148094559,0.358171633,0.00728806317,0.3,-0.109333963,-0.152648911,-0.00786664188,-0.3,-0.3,-0.0150557411
5,7772320,0.333115488,-1.40571511,-0.120323032,-0.071685262,-0.189295441,-0.0628002286,0.203249604,-1.11649907,-0.95337975,-0.80787158,0.0330124274,-0.249686956,0.0266492391,-0.112457209,-0.13609691,-0.121505579,-0.0151436353,-0.00502401829,0.360974881,0.3,-0.3,-0.3,0.00264099419,-0.0199749565,0.0266492391,0.13609691,-0.0151436353,0.360974881,0.00264099419,0.3,-0.112457209,-0.121505579,-0.00502401829,-0.3,-0.3,-0.0199749565
6,7778061,0.28605938,-1.44555473,-0.196402445,-0.0287611447,-0.196450189,-0.078248553,0.22743991,-1.18266213,-0.998124778,-0.888795793,-0.0202960484,-0.324755788,0.0228847504,-0.115644379,-0.158920734,-0.108628343,-0.0157160151,-0.00625988424,0.368231973,0.3,-0.3,-0.3,-0.00162368387,-0.025980463,0.0228847504,0.158920734,-0.0157160151,0.368231973,-0.00162368387,0.3,-0.115644379,-0.108628343,-0.00625988424,-0.3,-0.3,-0.025980463
7,7798287,0.228100166,-1.53023136,-0.286307812,-0.0285114292,-0.1872271,-0.119662002,0.297214895,-1.29803693,-1.00025928,-0.954772711,-0.0609520078,-0.411593348,0.0182480133,-0.12,-0.185892344,-0.108553429,-0.014978168,-0.00957296014,0.389164469,0.3,-0.3,-0.3,-0.00487616062,-0.0329274678,0.0182480133,0.185892344,-0.014978168,0.389164469,-0.00487616062,0.3,-0.12,-0.108553429,-0.00957296014,-0.3,-0.3,-0.0329274678
8,7830549,0.189960107,-1.6073643,-0.369398236,-0.046092324,-0.17948395,-0.222242266,0.389833778,-1.4471209,-0.953821957,-1.00906408,-0.09971793,-0.497821808,0.0151968086,-0.12,-0.210819471,-0.113827697,-0.014358716,-0.0177793813,0.416950133,0.3,-0.3,-0.3,-0.0079774344,-0.0398257446,0.0151968086,0.210819471,-0.014358716,0.416950133,-0.0079774344,0.3,-0.12,-0.113827697,-0.0177793813,-0.3,-0.3,-0.0398257446
9,7838611,0.178932965,-1.65950596,-0.431707144,-0.0341431834,-0.167826921,-0.3258169,0.481922209,-1.58855271,-0.866982758,-1.05885422,-0.135337099,-0.567238092,0.0143146372,-0.12,-0.229512143,-0.110242955,-0.0134261537,-0.026065352,0.444576663,0.3,-0.3,-0.3,-0.010826968,-0.0453790474,0.0143146372,0.229512143,-0.0134261537,0.444576663,-0.010826968,0.3,-0.12,-0.110242955,-0.026065352,-0.3,-0.3,-0.0453790474
