frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8717834,-0.0205715764,0.0996540338,0.0130899819,0.0185769685,0.024216678,-0.151651949,-0.201332211,0.120574407,-0.00588607648,-0.0264142174,0.387266278,0.138671592,-0.00164572611,0.0079723227,-0.194109508,-0.191640364,0.00193733424,-0.0121321559,0.2,0.254258483,-0.0511772153,-0.0552828435,0.0309813023,0.0110937274,-0.00164572611,0.194109508,0.00193733424,0.2,0.0511772153,0.0309813023,-0.0079723227,-0.191640364,-0.0121321559,-0.254258483,-0.0110937274,0.0552828435
1,8727136,0.134799987,0.071813032,0.0181082003,-0.0038075482,-0.00577611616,-0.171298593,-0.248562843,0.139861673,-0.0100976359,-0.0875711963,0.598013282,0.206246793,0.010783999,0.00574504256,-0.19185131,-0.201713397,-0.000462089293,-0.0137038875,0.2,0.262937753,-0.0520195272,-0.0675142393,0.0478410625,0.0164997435,0.010783999,0.19185131,-0.000462089293,0.2,0.0520195272,0.0478410625,-0.00574504256,-0.201713397,-0.0137038875,-0.262937753,-0.0164997435,0.0675142393
2,8744388,0.311563015,0.0154258702,0.00425623218,-0.00355794188,-0.0436429568,-0.16051957,-0.267994821,0.152563646,-0.0325444788,-0.105710506,0.709636211,0.228075787,0.0249250412,0.00123406962,-0.198084696,-0.201601074,-0.00349143654,-0.0128415656,0.2,0.268653641,-0.0565088958,-0.0711421013,0.0567708969,0.018246063,0.0249250412,0.198084696,-0.00349143654,0.2,0.0565088958,0.0567708969,-0.00123406962,-0.201601074,-0.0128415656,-0.268653641,-0.018246063,0.0711421013
3,8758418,0.445017844,-0.0419771634,-0.00813741889,0.00212204037,-0.0690316036,-0.149758428,-0.257296383,0.172322541,-0.0407581665,-0.0995867774,0.773042023,0.214331836,0.0356014276,-0.00335817307,-0.203661838,-0.199045082,-0.00552252829,-0.0119806743,0.2,0.277545144,-0.0581516333,-0.0699173555,0.0618433619,0.0171465468,0.0356014276,0.203661838,-0.00552252829,0.2,0.0581516333,0.0618433619,0.00335817307,-0.199045082,-0.0119806743,-0.277545144,-0.0171465468,0.0699173555
4,8787612,0.527160943,-0.0921979398,-0.0246692169,0.00947136153,-0.0878917053,-0.146296248,-0.241431534,0.183034092,-0.0523670241,-0.0870781615,0.805378556,0.187507764,0.0421728754,-0.00737583518,-0.211101148,-0.195737887,-0.00703133643,-0.0117036998,0.2,0.282365341,-0.0604734048,-0.0674156323,0.0644302845,0.0150006211,0.0421728754,0.211101148,-0.00703133643,0.2,0.0604734048,0.0644302845,0.00737583518,-0.195737887,-0.0117036998,-0.282365341,-0.0150006211,0.0674156323
5,8798371,0.561445475,-0.135629326,-0.0378878117,0.00105698546,-0.110622689,-0.149251506,-0.22296454,0.184502974,-0.0758666545,-0.0950220525,0.821500778,0.151448026,0.044915638,-0.0108503461,-0.217049515,-0.199524357,-0.00884981513,-0.0119401205,0.2,0.283026338,-0.0651733309,-0.0690044105,0.0657200623,0.0121158421,0.044915638,0.217049515,-0.00884981513,0.2,0.0651733309,0.0657200623,0.0108503461,-0.199524357,-0.0119401205,-0.283026338,-0.0121158421,0.0690044105
6,8823329,0.550630689,-0.169821188,-0.052881781,-0.00416577654,-0.122340001,-0.16007863,-0.202655703,0.176497683,-0.0863831863,-0.112303294,0.825688779,0.114232309,0.0440504551,-0.013585695,-0.223796801,-0.201874599,-0.00978720009,-0.0128062904,0.2,0.279423957,-0.0672766373,-0.0724606588,0.0660551023,0.00913858473,0.0440504551,0.223796801,-0.00978720009,0.2,0.0672766373,0.0660551023,0.013585695,-0.201874599,-0.0128062904,-0.279423957,-0.00913858473,0.0724606588
7,8838726,0.502375722,-0.188578397,-0.0594250411,-0.00557669345,-0.120007083,-0.175578997,-0.181564927,0.163054109,-0.0798786283,-0.124998614,0.813597322,0.0768584087,0.0401900578,-0.0150862718,-0.226741268,-0.202509512,-0.00960056663,-0.0140463197,0.2,0.273374349,-0.0659757257,-0.0749997228,0.0650877857,0.0061486727,0.0401900578,0.226741268,-0.00960056663,0.2,0.0659757257,0.0650877857,0.0150862718,-0.202509512,-0.0140463197,-0.273374349,-0.0061486727,0.0749997228
8,8859789,0.435118347,-0.190140739,-0.0575538538,-0.00636902219,-0.110429995,-0.195031002,-0.164501891,0.146624729,-0.0585027449,-0.132206738,0.786942363,0.0399333052,0.0348094678,-0.0152112591,-0.225899234,-0.20286606,-0.00883439958,-0.0156024802,0.2,0.265981128,-0.061700549,-0.0764413476,0.062955389,0.00319466442,0.0348094678,0.225899234,-0.00883439958,0.2,0.061700549,0.062955389,0.0152112591,-0.20286606,-0.0156024802,-0.265981128,-0.00319466442,0.0764413476
9,8885008,0.371918738,-0.172599688,-0.0445992984,-0.00897440314,-0.101645686,-0.218410492,-0.160619482,0.128112286,-0.0343086571,-0.139880821,0.747591734,0.00421122974,0.029753499,-0.0138079751,-0.220069684,-0.204038481,-0.00813165486,-0.0174728394,0.2,0.257650529,-0.0568617314,-0.0779761642,0.0598073387,0.000336898379,0.029753499,0.220069684,-0.00813165486,0.2,0.0568617314,0.0598073387,0.0138079751,-0.204038481,-0.0174728394,-0.257650529,-0.000336898379,0.0779761642
10,8900485,0.331976861,-0.150517702,-0.0307002217,-0.00532454159,-0.0956619978,-0.23626025,-0.165067002,0.119508013,-0.00902405847,-0.142432958,0.711238444,-0.0261466429,0.0265581489,-0.0120414162,-0.2138151,-0.202396044,-0.00765295982,-0.01890082,0.2,0.253778606,-0.0518048117,-0.0784865916,0.0568990755,-0.00209173143,0.0265581489,0.2138151,-0.00765295982,0.2,0.0518048117,0.0568990755,0.0120414162,-0.202396044,-0.01890082,-0.253778606,0.00209173143,0.0784865916
11,8918849,0.313034683,-0.128976509,-0.0171091482,-0.00158533512,-0.0922546312,-0.243590757,-0.174331129,0.119160026,0.0135866497,-0.139588326,0.68416965,-0.0441113748,0.0250427747,-0.0103181207,-0.207699117,-0.200713401,-0.0073803705,-0.0194872606,0.2,0.253622012,-0.0472826701,-0.0779176652,0.054733572,-0.00352890998,0.0250427747,0.207699117,-0.0073803705,0.2,0.0472826701,0.054733572,0.0103181207,-0.200713401,-0.0194872606,-0.253622012,0.00352890998,0.0779176652
12,8939666,0.307938695,-0.112467408,-0.0109083131,0.00485593174,-0.0894573852,-0.242416322,-0.182027787,0.117658593,0.0256984439,-0.135138631,0.667741239,-0.0445721783,0.0246350956,-0.00899739265,-0.204908741,-0.197814831,-0.00715659082,-0.0193933058,0.2,0.252946367,-0.0448603112,-0.0770277262,0.0534192991,-0.00356577426,0.0246350956,0.204908741,-0.00715659082,0.2,0.0448603112,0.0534192991,0.00899739265,-0.197814831,-0.0193933058,-0.252946367,0.00356577426,0.0770277262
13,8958957,0.316232234,-0.104582362,-0.00711538363,0.0093921721,-0.0862460807,-0.234282151,-0.187851042,0.119158566,0.0302510764,-0.13050139,0.662623048,-0.0349106602,0.0252985787,-0.00836658895,-0.203201923,-0.195773523,-0.00689968646,-0.0187425721,0.2,0.253621355,-0.0439497847,-0.0761002779,0.0530098438,-0.00279285282,0.0252985787,0.203201923,-0.00689968646,0.2,0.0439497847,0.0530098438,0.00836658895,-0.195773523,-0.0187425721,-0.253621355,0.00279285282,0.0761002779
14,8981382,0.329137862,-0.101116702,-0.00319938408,0.00934995897,-0.0835348442,-0.223290756,-0.195019752,0.117605895,0.0261968244,-0.12662296,0.663875461,-0.0187554508,0.0263310289,-0.00808933616,-0.201439723,-0.195792518,-0.00668278754,-0.0178632605,0.2,0.252922653,-0.0447606351,-0.075324592,0.0531100368,-0.00150043607,0.0263310289,0.201439723,-0.00668278754,0.2,0.0447606351,0.0531100368,0.00808933616,-0.195792518,-0.0178632605,-0.252922653,0.00150043607,0.075324592
15,8998306,0.337286711,-0.0989245176,-0.00115516793,0.00818347931,-0.0797478929,-0.213617384,-0.198515385,0.111295134,0.0172055028,-0.124533184,0.666206598,0.001273587,0.0269829369,-0.00791396141,-0.200519826,-0.196317434,-0.00637983143,-0.0170893908,0.2,0.25008281,-0.0465588994,-0.0749066368,0.0532965279,0.00010188696,0.0269829369,0.200519826,-0.00637983143,0.2,0.0465588994,0.0532965279,0.00791396141,-0.196317434,-0.0170893908,-0.25008281,-0.00010188696,0.0749066368
16,9020484,0.337040663,-0.0951825604,0.0023649428,0.00702882325,-0.0718423277,-0.203526288,-0.199744686,0.105272174,0.00643621013,-0.123751529,0.668593943,0.0213501006,0.026963253,-0.00761460483,-0.198935776,-0.19683703,-0.00574738622,-0.0162821031,0.2,0.247372478,-0.048712758,-0.0747503057,0.0534875154,0.00170800805,0.026963253,0.198935776,-0.00574738622,0.2,0.048712758,0.0534875154,0.00761460483,-0.19683703,-0.0162821031,-0.247372478,-0.00170800805,0.0747503057
17,9041099,0.331792414,-0.0893778056,0.00749702286,0.00568819186,-0.0619608723,-0.192727327,-0.199609861,0.104584664,0.00342612178,-0.120308891,0.671349049,0.0388927422,0.0265433931,-0.00715022445,-0.19662634,-0.197440314,-0.00495686978,-0.0154181862,0.2,0.247063099,-0.0493147756,-0.0740617782,0.0537079239,0.00311141938,0.0265433931,0.19662634,-0.00495686978,0.2,0.0493147756,0.0537079239,0.00715022445,-0.197440314,-0.0154181862,-0.247063099,-0.00311141938,0.0740617782
18,9062569,0.323143095,-0.0822832137,0.0126982499,0.00477876514,-0.0520028584,-0.180697888,-0.198443189,0.106279388,0.00504367473,-0.115490764,0.674152732,0.0553077348,0.0258514476,-0.0065826571,-0.194285788,-0.197849556,-0.00416022867,-0.0144558311,0.2,0.247825725,-0.0489912651,-0.0730981529,0.0539322186,0.00442461878,0.0258514476,0.194285788,-0.00416022867,0.2,0.0489912651,0.0539322186,0.0065826571,-0.197849556,-0.0144558311,-0.247825725,-0.00442461878,0.0730981529
19,9087415,0.312784523,-0.0757554993,0.0160713457,0.00490007829,-0.043022424,-0.168919623,-0.196937099,0.108170927,0.00775737362,-0.110263303,0.675071359,0.0710970312,0.0250227618,-0.00606043994,-0.192767894,-0.197794965,-0.00344179392,-0.0135135698,0.2,0.248676917,-0.0484485253,-0.0720526606,0.0540057087,0.0056877625,0.0250227618,0.192767894,-0.00344179392,0.2,0.0484485253,0.0540057087,0.00606043994,-0.197794965,-0.0135135698,-0.248676917,-0.0056877625,0.0720526606
20,9098138,0.305271357,-0.0704333857,0.0185469706,0.00528075639,-0.0363595374,-0.158955291,-0.196473226,0.112083167,0.0117375264,-0.105657808,0.675616264,0.0845779479,0.0244217086,-0.00563467085,-0.191653863,-0.19762366,-0.00290876299,-0.0127164233,0.2,0.250437425,-0.0476524947,-0.0711315617,0.0540493011,0.00676623583,0.0244217086,0.191653863,-0.00290876299,0.2,0.0476524947,0.0540493011,0.00563467085,-0.19762366,-0.0127164233,-0.250437425,-0.00676623583,0.0711315617
21,9118542,0.302063465,-0.066494301,0.0198143423,0.00605042838,-0.0326213166,-0.152254671,-0.197481528,0.114565469,0.0143853324,-0.100682326,0.674761176,0.0949283764,0.0241650772,-0.00531954408,-0.191083546,-0.197277307,-0.00260970533,-0.0121803737,0.2,0.251554461,-0.0471229335,-0.0701364651,0.0539808941,0.00759427011,0.0241650772,0.191083546,-0.00260970533,0.2,0.0471229335,0.0539808941,0.00531954408,-0.197277307,-0.0121803737,-0.251554461,-0.00759427011,0.0701364651
